	m_c18n_0000	m_c18n_0001	m_c18n_0003	m_c18n_0006	m_c18n_0008	m_c18n_0009	m_c18n_0010	m_c18n_0011	m_c18n_0013	m_c18n_0016	m_c18n_0017	m_c18n_0018	m_c18n_0019	m_c18n_0020	m_c18n_0021	m_c18n_0022	m_c18n_0023	m_c18n_0024	m_c18n_0025	m_c18n_0026	m_c18n_0027	m_c18n_0028	m_c18n_0029	m_c18n_0030	m_c18n_0031	m_c18n_0035	m_c18n_0037	m_c18n_0039	m_c18n_0041	m_c18n_0042	m_c18n_0043	m_c18n_0048	m_c18n_0049	m_c18n_0050	m_c18n_0051	m_c18n_0052	m_c18n_0053	m_c18n_0054	m_c18n_0055	m_c18n_0056	m_c18n_0058	m_c18n_0059	m_c18n_0060	m_c18n_0061	m_c18n_0062	m_c18n_0063	m_c18n_0064	m_c18n_0065	m_c18n_0066	m_c18n_0067	m_c18n_0068	m_c18n_0071	m_c18n_0072	m_c18n_0073	m_c18n_0074	m_c18n_0077	m_c18n_0080	m_c18n_0082	m_c18n_0084	m_c18n_0086	m_c18n_0087	m_c18n_0088	m_c18n_0093	m_c18n_0094	m_c18n_0097	m_c18n_0098	m_c18n_0099	m_c18n_0100	m_c18n_0101	m_c18n_0103	m_c18n_0104	m_c18n_0105	m_c18n_0107	m_c18n_0108	m_c18n_0109	m_c18n_0110	m_c18n_0112	m_c18n_0113	m_c18n_0114	m_c18n_0116	m_c18n_0117	m_c18n_0122	m_c18n_0127	m_c18n_0128	m_c18n_0129	m_c18n_0130	m_c18n_0132	m_c18n_0133	m_c18n_0135	m_c18n_0136	m_c18n_0139	m_c18n_0140	m_c18n_0141	m_c18n_0145	m_c18n_0148	m_c18n_0150	m_c18n_0152	m_c18n_0158	m_c18n_0159	m_c18n_0160	m_c18n_0161	m_c18n_0162	m_c18n_0164	m_c18n_0166	m_c18n_0167	m_c18n_0168	m_c18n_0171	m_c18n_0172	m_c18n_0175	m_c18n_0176	m_c18n_0177	m_c18n_0179	m_c18n_0181	m_c18n_0182	m_c18n_0189	m_c18n_0196	m_c18n_0198	m_c18n_0200	m_c18n_0205	m_c18n_0206	m_c18n_0213	m_c18n_0214	m_c18n_0215	m_c18n_0218	m_c18n_0219	m_c18n_0221	m_c18n_0224	m_c18n_0226	m_c18n_0231	m_c18n_0233	m_c18n_0234	m_c18n_0237	m_c18n_0238	m_c18n_0242	m_c18n_0248	m_c18n_0250	m_c18n_0251	m_c18n_0256	m_c18n_0258	m_c18n_0259	m_c18n_0262	m_c18n_0263	m_c18n_0265	m_c18n_0266	m_c18n_0267	m_c18n_0271	m_c18n_0273	m_c18n_0275	m_c18n_0278	m_c18n_0280	m_c18n_0282	m_c18n_0283	m_c18n_0284	m_c18n_0285	m_c18n_0286	m_c18n_0288	m_c18n_0291	m_c18n_0292	m_c18n_0294	m_c18n_0297	m_c18n_0298	m_c18n_0302	m_c18n_0303	m_c18n_0307	m_c18n_0309	m_c18n_0312	m_c18n_0313	m_c18n_0316	m_c18n_0317	m_c18n_0321	m_c18n_0323	m_c18n_0325	m_c18n_0328	m_c18n_0329	m_c18n_0330	m_c18n_0335	m_c18n_0337	m_c18n_0338	m_c18n_0340	m_c18n_0345	m_c18n_0347	m_c18n_0348	m_c18n_0351	m_c18n_0356	m_c18n_0357	m_c18n_0358	m_c18n_0360	m_c18n_0361	m_c18n_0362	m_c18n_0365	m_c18n_0366	m_c18n_0367	m_c18n_0373	m_c18n_0381	m_c18n_0382	m_c18n_0383	m_c18n_0385	m_c18n_0388	m_c18n_0390	m_c18n_0392	m_c18n_0398	m_c18n_0399	m_c18n_0400	m_c18n_0401	m_c18n_0402	m_c18n_0404	m_c18n_0413	m_c18n_0414	m_c18n_0415	m_c18n_0416	m_c18n_0418	m_c18n_0419	m_c18n_0420	m_c18n_0421	m_c18n_0422	m_c18n_0425	m_c18n_0428	m_c18n_0433	m_c18n_0435	m_c18n_0436	m_c18n_0438	m_c18n_0439	m_c18n_0440	m_c18n_0445	m_c18n_0449	m_c18n_0451	m_c18n_0452	m_c18n_0453	m_c18n_0455	m_c18n_0458	m_c18n_0466	m_c18n_0467	m_c18n_0469	m_c18n_0475	m_c18n_0476	m_c18n_0477	m_c18n_0479	m_c18n_0480	m_c18n_0482	m_c18n_0485	m_c18n_0486	m_c18n_0492	m_c18n_0493	m_c18n_0501	m_c18n_0502	m_c18n_0506	m_c18n_0517	m_c18n_0519	m_c18n_0521	m_c18n_0523	m_c18n_0524	m_c18n_0527	m_c18n_0528	m_c18n_0530	m_c18n_0543	m_c18n_0547	m_c18n_0551	m_c18n_0553	m_c18n_0556	m_c18n_0557	m_c18n_0558	m_c18n_0559	m_c18n_0560	m_c18n_0561	m_c18n_0562	m_c18n_0563	m_c18n_0564	m_c18n_0565	m_c18n_0566
s00199	16784.0	23662.0		1189508.0	34355.0	868142.0		459837.0		0.0			2131860.0	36331.0	21953.0	2491338.0	722204.0	24511504.0	495969.0	1647777.0	1447055.0			17504.0	198210.0	1117191.0			207972.0	764605.0			25646.0	995542.0	11187.0		41700.0		48494.0		14635.0			140501.0	34297.0	751472.0	6940960.0	30262.0		6193.0		54678.0	201191.0		15986.0	15890.0	121703.0	12840.0	8955.0	30329.0	14051.0			5768.0		38569.0		45889.0								33737.0	259180.0		612.0		2823.0	27229.0			25388.0				60709.0		20992.0		27430.0			44802.0		18884.0		59178.0							7937.0	6668.0							20552.0				365117.0							11411.0	778593.0	6983.0				1639421.0	7708493							11565.0		53583.0	6820.0		28492.0	205249.0			203720.0	59245.0		9589.0	9964.0			132530.0			36911.0	0.0		9656.0					12909.0	18479.0		81814.0	383.0	139.0	332376.0			21752.0			108709.0					7239.0	2784484		9942.0		75801.0	461235.0	2224.0			323558.0				18042.0	42630.0			193312.0		339.0			6601814.0	79451.0				4089.0	6759.0			101.0	1691.0	4410.0	4772.0	740183.0		0.0		30145.0		113.0		7948.0	24496.0	189523.0		5991.0	316283.0	160.0	1701.0								23432.0			8094.0					8497.0							7423.0	167577.0	257522.0	1167478	839487	505140	95301	2485798	3137810	9286704	7302916	141020.0
s00153	20653.0	20444.0		2353177.0	25233.0	89911.0		535721.0		0.0			1919660.0	30957.0	21214.0	2268292.0	651772.0	27467210.0	535536.0	1356236.0	930683.0			14656.0	489948.0	1305124.0			190679.0	979949.0			50198.0	1028487.0	12472.0		19997.0		39326.0		14168.0			187219.0	40248.0	650669.0	10324354.0	15134.0		7140.0		37854.0	101111.0		80823.0	13710.0	314359.0	12751.0	10927.0	77867.0	13303.0			19772.0		35879.0		55756.0								18299.0	286703.0		2860.0		13962.0	29551.0			23635.0				74479.0		21144.0		786.0			36088.0		13473.0		68622.0							8048.0	7585.0							145980.0				357088.0							8979.0	660052.0	18651.0				1653997.0	6919743							11449.0		50537.0	11400.0		54814.0	208451.0			113778.0	41633.0		7571.0	10222.0			71184.0			33852.0	379.0		6417.0					2546.0	14442.0		96495.0	602.0	264.0	474707.0			21445.0			175166.0					6523.0	2325543		6357.0		91504.0	536596.0	2853.0			245501.0				12825.0	34409.0			306343.0		285.0			7589460.0	66764.0				4028.0	6680.0			0.0	1054.0	4607.0	7475.0	1077431.0		0.0		27993.0		0.0		7166.0	19877.0	178077.0		6483.0	310597.0	3259.0	675.0								89780.0			5742.0					9238.0							4489.0	160792.0	206615.0	1053586	731922	442960	98216	2036951	2566259	8746723	7364487	97758.0
s00204	24728.0	19714.0		2140562.0	26163.0	724127.0		256742.0		51154.0			2220615.0	12887.0	42197.0	2278702.0	1133574.0	31323138.0	823010.0	1465291.0	738537.0			13175.0	58750.0	1335684.0			227944.0	727493.0			174692.0	1336787.0	13725.0		20133.0		64976.0		15825.0			217052.0	34387.0	526135.0	3288786.0	61576.0		10937.0		54203.0	172065.0		98518.0	16244.0	265609.0	11018.0	108174.0	21427.0	18405.0			17535.0		43403.0		100744.0								239720.0	234143.0		10988.0		5709.0	27976.0			23372.0				58382.0		10507.0		100172.0			46711.0		17674.0		49863.0							37503.0	15996.0							15177.0				258551.0							10914.0	642258.0	72685.0				724693.0	7417788							13972.0		80319.0	7063.0		38303.0	185081.0			112345.0	60726.0		31886.0	42386.0			100507.0			16699.0	1672.0		6198.0					40952.0	19705.0		81694.0	596.0	155.0	254741.0			19366.0			154954.0					8061.0	3018643		1601.0		48666.0	364390.0	2192.0			296412.0				16068.0	35378.0			183824.0		399.0			7309060.0	48312.0				2396.0	8074.0			108.0	579.0	6941.0	9971.0	471503.0		0.0		22169.0		129.0		8673.0	20063.0	205292.0		1769.0	332148.0	795.0	5627.0								3508.0			11341.0					13866.0							5950.0	152535.0	220082.0	1029555	729549	455190	122023	2130407	2712974	8506126	7397338	106737.0
s00148	322.0	23833.0		12074.0	30657.0	460445.0		79120.0		65903.0			47226.0	6257.0	16796.0	1735762.0	1124433.0	27046412.0	1763782.0	4423828.0	612453.0			14316.0	11058.0	1213.0			132554.0	1620010.0			110743.0	547889.0	29541.0		65252.0		14221.0		10714.0			57296.0	41031.0	581111.0	442022.0	41959.0		828.0		40226.0	522093.0		22972.0	12109.0	3277.0	27779.0	7710.0	16133.0	12666.0			60780.0		15329.0		48755.0								19327.0	336718.0		1296.0		3646.0	28611.0			27484.0				38346.0		67307.0		176453.0			38267.0		11478.0		72213.0							3146.0	8231.0							57923.0				787.0							5187.0	745702.0	41513.0				1423787.0	6397703							11798.0		9864.0	36486.0		28536.0	200408.0			119741.0	14304.0		11154.0	8993.0			49152.0			25255.0	434.0		5024.0					115.0	22527.0		36234.0	391.0	30.0	274110.0			22015.0			175082.0					3549.0	2678340		475.0		80723.0	271895.0	1979.0			212756.0				331.0	31900.0			234969.0		139.0			7328819.0	64144.0				2960.0	8204.0			0.0	3743.0	22213.0	5684.0	110357.0		1111.0		20963.0		0.0		17707.0	18607.0	1058.0		11002.0	302070.0	7959.0	0.0								326.0			7791.0					4411.0							4393.0	155424.0	247359.0	1101856	738357	448538	170067	2133743	2595340	9639955	7424838	108061.0
s00162	1446.0	11670.0		16004.0	19985.0	571750.0		54206.0		0.0			3092547.0	18639.0	25253.0	1429456.0	791421.0	24897832.0	1476355.0	1236501.0	70912.0			12904.0	13757.0	753662.0			2023330.0	842462.0			145035.0	636101.0	11878.0		20994.0		12931.0		18487.0			400063.0	28641.0	523258.0	81178.0	107022.0		6975.0		45914.0	454680.0		179333.0	13897.0	4415.0	7643.0	242896.0	45366.0	13966.0			140475.0		35002.0		43066.0								278280.0	267239.0		2780.0		8538.0	29584.0			37484.0				43705.0		51203.0		64988.0			32992.0		13985.0		46111.0							2876.0	187712.0							8372.0				221091.0							10641.0	654738.0	34505.0				1503882.0	5916982							11188.0		50027.0	2160.0		27475.0	161441.0			80576.0	42229.0		14035.0	4668.0			160465.0			29148.0	0.0		6831.0					13092.0	26401.0		44960.0	73176.0	1041.0	192406.0			19438.0			152346.0					14844.0	2621000		2194.0		246622.0	254126.0	8077.0			1622.0				24676.0	36112.0			206510.0		8.0			7594862.0	6786.0				121.0	252.0			255.0	181.0	17611.0	95028.0	647660.0		3848.0		21149.0		1966.0		9140.0	17695.0	292951.0		6850.0	233067.0	1742.0	1564.0								73.0			6859.0					5700.0							5338.0	156196.0	217532.0	1048646	688554	358828	109410	1998668	2654265	9061881	7567212	110373.0
s00171	137.0	13781.0		21050.0	15683.0	2126421.0		57961.0		69821.0			3197794.0	96401.0	28859.0	1663702.0	586543.0	27807914.0	2276771.0	1058718.0	78457.0			13468.0	19538.0	925356.0			1386409.0	269342.0			230869.0	557137.0	1304.0		6973.0		85948.0		14286.0			1047470.0	30490.0	626946.0	90196.0	136294.0		5553.0		45960.0	382373.0		98841.0	15904.0	4637.0	5646.0	264616.0	59924.0	16055.0			172245.0		40452.0		162450.0								357113.0	245562.0		14796.0		10654.0	29329.0			31487.0				27837.0		99856.0		761295.0			45140.0		14553.0		32398.0							3940.0	213716.0							52837.0				212265.0							12514.0	625494.0	50979.0				1656381.0	7050898							11293.0		65261.0	0.0		198150.0	181325.0			65492.0	31668.0		60344.0	3454.0			80302.0			33331.0	310.0		8728.0					13489.0	31479.0		51854.0	167916.0	700.0	302493.0			15014.0			138128.0					17511.0	3135152		1696.0		161115.0	279099.0	20667.0			2856.0				26794.0	38194.0			217204.0		2108.0			7972829.0	9138.0				464.0	451.0			919.0	3094.0	32682.0	134853.0	186598.0		14905.0		16011.0		1834.0		9200.0	15617.0	30920.0		7548.0	123796.0	310.0	1704.0								185.0			6370.0					4602.0							6923.0	161710.0	249418.0	1113914	707593	367037	174718	2196697	2677916	8928467	7473285	112633.0
s00159	479.0	12616.0		14066.0	23985.0	623642.0		49751.0		47257.0			3192060.0	20192.0	36144.0	1610965.0	842556.0	25754804.0	928866.0	1254720.0	82991.0			13653.0	14256.0	927310.0			1602036.0	773414.0			112200.0	1003541.0	13249.0		30491.0		16310.0		18052.0			291213.0	29299.0	466856.0	89564.0	88698.0		6423.0		42475.0	525809.0		132964.0	14383.0	5664.0	7344.0	239948.0	48715.0	12226.0			180721.0		31716.0		50194.0								292640.0	258849.0		10212.0		7886.0	26025.0			40722.0				47448.0		38359.0		35845.0			39582.0		13430.0		48531.0							3569.0	181614.0							5803.0				207447.0							11023.0	679287.0	23802.0				639466.0	6556282							12412.0		49309.0	5201.0		25546.0	165393.0			84345.0	69609.0		12771.0	7966.0			159454.0			30362.0	0.0		7250.0					15388.0	29458.0		54032.0	158390.0	930.0	223194.0			21786.0			155245.0					15631.0	2842264		1449.0		217222.0	267341.0	14603.0			3926.0				24186.0	38958.0			221685.0		561.0			7797773.0	7780.0				0.0	134.0			221.0	1111.0	11287.0	90756.0	677926.0		1761.0		27327.0		2672.0		10283.0	17742.0	282298.0		6082.0	248063.0	2470.0	3700.0								0.0			7453.0					7659.0							5618.0	160382.0	223934.0	1012118	732396	363852	144449	2047710	2668839	9245291	7529270	109797.0
s00139	0.0	0.0		0.0	605.0	5261.0		1704.0		0.0			1687.0	173.0	0.0	30247.0	0.0	68562.0	256.0	9046.0	3538.0			0.0	50232.0	0.0			227.0	428.0			110.0	165.0	0.0		0.0		3408.0		0.0			144.0	164.0	0.0	207.0	104.0		0.0		294.0	895.0		263.0	459.0	4447.0	0.0	688.0	128.0	144.0			1919.0		0.0		331.0								2523.0	10671.0		0.0		607.0	0.0			431.0				117.0		375.0		1318.0			432.0		0.0		0.0							0.0	0.0							0.0				1368.0							0.0	4523.0	0.0				4086.0	10186							0.0		103.0	0.0		11884.0	0.0			0.0	0.0		0.0	0.0			0.0			115.0	129.0		0.0					232.0	0.0		107.0	0.0	0.0	116.0			154.0			130.0					0.0	427		0.0		0.0	0.0	0.0			0.0				0.0	0.0			218822.0		0.0			3618135.0	0.0				0.0	0.0			0.0	0.0	0.0	0.0	59573.0		0.0		0.0		0.0		7423.0	0.0	0.0		0.0	0.0	0.0	0.0								0.0			140.0					0.0							0.0	330.0	0.0	8966	0	0	112	1114	4786	43868	37653	498.0
s00202	21074.0	18972.0		1805201.0	16608.0	808550.0		347979.0		37104.0			1958204.0	16787.0	17241.0	2092484.0	1041604.0	28719272.0	482957.0	1636135.0	1134956.0			15441.0	68311.0	914526.0			145180.0	954314.0			256470.0	1059548.0	11398.0		36531.0		45680.0		16792.0			199359.0	31032.0	690671.0	3431325.0	56970.0		5931.0		49407.0	245121.0		72757.0	17914.0	158002.0	12698.0	10056.0	42862.0	17469.0			17829.0		40720.0		47177.0								63232.0	301618.0		1201.0		5886.0	31469.0			22195.0				91826.0		26545.0		2390.0			42983.0		13174.0		44922.0							8826.0	7812.0							14650.0				293291.0							8646.0	727834.0	10197.0				642782.0	6673111							11601.0		62213.0	6209.0		23259.0	165443.0			113227.0	48565.0		10101.0	11591.0			141243.0			35633.0	0.0		6238.0					13691.0	18430.0		101906.0	3536.0	638.0	258320.0			22717.0			162615.0					6419.0	2514696		5457.0		57434.0	358955.0	2524.0			372190.0				14318.0	37647.0			183673.0		314.0			7027662.0	77997.0				3219.0	9475.0			0.0	4632.0	3169.0	5986.0	616618.0		0.0		23760.0		116.0		9005.0	21434.0	206074.0		4405.0	307008.0	244.0	1356.0								1751.0			6437.0					7972.0							6893.0	160674.0	239342.0	1140558	738607	452228	134382	2208390	2691552	8511706	7271368	126055.0
s00125	103.0	0.0		0.0	327.0	566.0		81.0		108.0			749.0	236.0	0.0	10295.0	119.0	17719.0	755.0	20815.0	2361.0			0.0	9209.0	167.0			506.0	300.0			117.0	363.0	0.0		91.0		1579.0		0.0			0.0	99.0	117.0	537.0	0.0		0.0		0.0	0.0		0.0	103.0	2628.0	121.0	0.0	128.0	135.0			951.0		0.0		446.0								527.0	5381.0		0.0		258.0	0.0			406.0				0.0		0.0		564.0			130.0		0.0		0.0							0.0	100.0							0.0				6.0							129.0	2887.0	108.0				2018.0	566							0.0		0.0	0.0		12727.0	0.0			0.0	0.0		0.0	0.0			0.0			0.0	0.0		0.0					158.0	0.0		0.0	0.0	103.0	0.0			126.0			0.0					0.0	0		0.0		0.0	0.0	0.0			0.0				0.0	0.0			285931.0		0.0			2828620.0	114.0				0.0	0.0			0.0	0.0	0.0	0.0	88898.0		0.0		0.0		0.0		15131.0	133.0	0.0		0.0	0.0	0.0	0.0								0.0			123.0					0.0							0.0	0.0	0.0	2432	0	0	266	104	752	32946	1108	551.0
