	m_c18p_0000	m_c18p_0001	m_c18p_0003	m_c18p_0005	m_c18p_0006	m_c18p_0007	m_c18p_0008	m_c18p_0009	m_c18p_0011	m_c18p_0012	m_c18p_0013	m_c18p_0014	m_c18p_0015	m_c18p_0017	m_c18p_0018	m_c18p_0019	m_c18p_0020	m_c18p_0021	m_c18p_0022	m_c18p_0023	m_c18p_0025	m_c18p_0026	m_c18p_0027	m_c18p_0028	m_c18p_0029	m_c18p_0030	m_c18p_0031	m_c18p_0032	m_c18p_0035	m_c18p_0037	m_c18p_0038	m_c18p_0039	m_c18p_0041	m_c18p_0042	m_c18p_0043	m_c18p_0044	m_c18p_0046	m_c18p_0047	m_c18p_0049	m_c18p_0050	m_c18p_0052	m_c18p_0053	m_c18p_0055	m_c18p_0056	m_c18p_0060	m_c18p_0064	m_c18p_0065	m_c18p_0067	m_c18p_0068	m_c18p_0069	m_c18p_0070	m_c18p_0072	m_c18p_0076	m_c18p_0080	m_c18p_0081	m_c18p_0082	m_c18p_0083	m_c18p_0084	m_c18p_0091	m_c18p_0093	m_c18p_0094	m_c18p_0098	m_c18p_0100	m_c18p_0102	m_c18p_0103	m_c18p_0105	m_c18p_0107	m_c18p_0108	m_c18p_0111	m_c18p_0112	m_c18p_0113	m_c18p_0114	m_c18p_0115	m_c18p_0117	m_c18p_0118	m_c18p_0119	m_c18p_0120	m_c18p_0121	m_c18p_0124	m_c18p_0125	m_c18p_0126	m_c18p_0129	m_c18p_0131	m_c18p_0133	m_c18p_0134	m_c18p_0135	m_c18p_0136	m_c18p_0137	m_c18p_0139	m_c18p_0140	m_c18p_0142	m_c18p_0146	m_c18p_0147	m_c18p_0149	m_c18p_0152	m_c18p_0154	m_c18p_0158	m_c18p_0159	m_c18p_0160	m_c18p_0161	m_c18p_0162	m_c18p_0163	m_c18p_0164	m_c18p_0170	m_c18p_0172	m_c18p_0174	m_c18p_0176	m_c18p_0177	m_c18p_0178	m_c18p_0179	m_c18p_0186	m_c18p_0189	m_c18p_0190	m_c18p_0195	m_c18p_0197	m_c18p_0199	m_c18p_0202	m_c18p_0204	m_c18p_0207	m_c18p_0209	m_c18p_0210	m_c18p_0213	m_c18p_0216	m_c18p_0217	m_c18p_0219	m_c18p_0220	m_c18p_0222	m_c18p_0223	m_c18p_0226	m_c18p_0232	m_c18p_0233	m_c18p_0234	m_c18p_0242	m_c18p_0245	m_c18p_0246	m_c18p_0249	m_c18p_0253	m_c18p_0255	m_c18p_0259	m_c18p_0263	m_c18p_0265	m_c18p_0267	m_c18p_0269	m_c18p_0270	m_c18p_0272	m_c18p_0274	m_c18p_0276	m_c18p_0278	m_c18p_0279	m_c18p_0280	m_c18p_0281	m_c18p_0283	m_c18p_0285	m_c18p_0286	m_c18p_0288	m_c18p_0290	m_c18p_0291	m_c18p_0301	m_c18p_0309	m_c18p_0311	m_c18p_0312	m_c18p_0314	m_c18p_0316	m_c18p_0319	m_c18p_0320	m_c18p_0322	m_c18p_0323	m_c18p_0324	m_c18p_0326	m_c18p_0327	m_c18p_0328	m_c18p_0329	m_c18p_0330	m_c18p_0332	m_c18p_0333	m_c18p_0342	m_c18p_0343	m_c18p_0348	m_c18p_0349	m_c18p_0353	m_c18p_0354	m_c18p_0355	m_c18p_0360	m_c18p_0361	m_c18p_0364	m_c18p_0365	m_c18p_0366	m_c18p_0369	m_c18p_0371	m_c18p_0372	m_c18p_0374	m_c18p_0375	m_c18p_0376	m_c18p_0377	m_c18p_0378	m_c18p_0379	m_c18p_0380	m_c18p_0381	m_c18p_0383	m_c18p_0384	m_c18p_0385	m_c18p_0387	m_c18p_0388	m_c18p_0390	m_c18p_0391	m_c18p_0392	m_c18p_0397	m_c18p_0398	m_c18p_0399	m_c18p_0400	m_c18p_0401	m_c18p_0402	m_c18p_0403	m_c18p_0405	m_c18p_0408	m_c18p_0410	m_c18p_0417	m_c18p_0418	m_c18p_0419	m_c18p_0421	m_c18p_0422	m_c18p_0423	m_c18p_0424	m_c18p_0426	m_c18p_0428	m_c18p_0429	m_c18p_0430	m_c18p_0432	m_c18p_0433	m_c18p_0438	m_c18p_0440	m_c18p_0442	m_c18p_0443	m_c18p_0445	m_c18p_0449	m_c18p_0453	m_c18p_0454	m_c18p_0456	m_c18p_0460	m_c18p_0461	m_c18p_0462	m_c18p_0464	m_c18p_0466	m_c18p_0469	m_c18p_0472	m_c18p_0474	m_c18p_0480	m_c18p_0481	m_c18p_0482	m_c18p_0483	m_c18p_0485	m_c18p_0491	m_c18p_0495	m_c18p_0496	m_c18p_0498	m_c18p_0503	m_c18p_0504	m_c18p_0508	m_c18p_0509	m_c18p_0510	m_c18p_0514	m_c18p_0516	m_c18p_0518	m_c18p_0521	m_c18p_0533	m_c18p_0535	m_c18p_0544	m_c18p_0551	m_c18p_0554	m_c18p_0555	m_c18p_0556	m_c18p_0557	m_c18p_0558	m_c18p_0559	m_c18p_0560	m_c18p_0561	m_c18p_0562	m_c18p_0563	m_c18p_0564	m_c18p_0565	m_c18p_0566	m_c18p_0567	m_c18p_0568	m_c18p_0569	m_c18p_0570	m_c18p_0571
s00115						5371.0		2150838	3906330.0	218081.0		47487404	67350.0	199825.0			10287.0		14294180.0	17607.0			161105.0	25756	128625.0			744784		8123721	103095.0	67800		5037.0			761.0		287601	2224.0			734085.0	1921.0		49816.0	32659.0	3548	507072.0		25318.0			1343320.0	13537.0				9404.0	2107886.0			7382.0						18490	6071.0			568079.0		73675.0		5078.0		4470.0			1231752.0			103666.0	37320.0		48069.0		1902730.0		4542.0			5092.0	15613.0		19045.0	8623.0	19493.0		23504.0	779944.0	41423.0	2059636	1320946.0			18151394.0							147359.0				28646.0	16053.0			24701.0		272996.0	91956			18850.0	80897.0	334426.0	267.0				158184.0					109658.0	17684.0								38243.0							50735		21547.0	82622.0	40734.0		33219.0	4190.0			48569	37823.0	35380			27390.0					126954.0		24511.0			627612	46804.0							11499.0				103973.0		14273.0	66566.0	3966.0							45383.0	574.0	23323.0			56785.0	56404.0				50270.0	34376.0	853860.0							3527500.0		241261.0			4975.0	27782.0	308674.0		12652.0	30144.0			1538.0			21300.0			100748.0					492575.0				971.0					6065.0		0.0		31573	1088.0	431732.0					77368		539386	1198120	1343933.0	544585.0	2453327	1628615.0	275693	2787078	1698622	308902	87676.0		40692.0	68767.0	38677.0	25945.0
s00034						6253.0		338611	3194827.0	1316945.0		51322568	879559.0	137132.0			4800.0		37821492.0	17527.0			235254.0	14958	118748.0			753639		7380017	170210.0	1674761		23073.0			1635.0		192627	1261.0			790808.0	3953.0		39390.0	393845.0	27622	195674.0		34740.0			2774512.0	17917.0				5351.0	497472.0			4688.0						17181	8871.0			593064.0		5577.0		227.0		0.0			2783146.0			88116.0	30835.0		45931.0		1830898.0		3048.0			37206.0	15077.0		25926.0	50915.0	30279.0		20614.0	621932.0	18819.0	2204063	895615.0			19140426.0							156153.0				133592.0	45967.0			21753.0		240036.0	73849			72064.0	22573098.0	83170384.0	12976.0				160950.0					165657.0	3692.0								18502.0							13534320		7302.0	37112.0	2942.0		73674.0	3648.0			28332	0.0	40200			112020.0					113990.0		22342.0			5080	84896.0							11598.0				101514.0		17532.0	55179.0	3400.0							50970.0	243.0	28952.0			13876.0	270.0				15689.0	35335.0	539967.0							1097.0		792.0			1273.0	0.0	0.0		22651.0	6248.0			395.0			20927.0			77323.0					385405.0				1227.0					6474.0		41484.0		38858	0.0	929185.0					67888		506132	1164700	692728.0	387653.0	1503750	1591916.0	299426	2792271	1674239	306238	68214.0		39504.0	345885.0	42810.0	34492.0
s00076						105.0		0	3176.0	13191.0		227635	32008.0	0.0			0.0		335297.0	0.0			0.0	1162	111.0			6435		9359	7441.0	14934		141812.0			0.0		10665	270.0			0.0	1543.0		653.0	595.0	1962	2572.0		327.0			335297.0	12678.0				1217.0	2101.0			7021.0						797	122.0			534.0		572.0		875.0		75.0			66.0			138.0	2612.0		853.0		1469.0		816.0			561.0	108.0		915.0	3417.0	1340.0		1186.0	187.0	143.0	836	285.0			4005.0							2279.0				1018.0	1477.0			445.0		0.0	1099			22067.0	16063.0	8623.0	291.0				17413.0					1262.0	150.0								154.0							312		0.0	157.0	458.0		108.0	625.0			150	119.0	0			0.0					120.0		110.0			0	264.0							424.0				108.0		106.0	374.0	0.0							376.0	103.0	0.0			0.0	127.0				127.0	12763.0	105.0							169.0		0.0			0.0	0.0	0.0		24598.0	0.0			0.0			0.0			25.0					0.0				0.0					0.0		0.0		0	0.0	1260353.0					0		340	1603	1727.0	1687.0	2634	0.0	8345	1114	132	956	0.0		0.0	153570.0	131.0	0.0
s00058						7828.0		62190	366681.0	1204532.0		40164276	80368.0	195807.0			4416.0		3121353.0	16457.0			1169.0	933126	130631.0			789586		12689916	322734.0	17162350		73969.0			15108.0		165010	8686.0			17440.0	263639.0		49921.0	32446.0	418291	806418.0		18778.0			8348822.0	42692.0				166093.0	5359.0			6479.0						21589	12044.0			942992.0		173809.0		29213.0		695589.0			6558113.0			93761.0	49156.0		56446.0		1884494.0		13003.0			5330.0	13283.0		25840.0	6016.0	15960.0		16200.0	645782.0	806552.0	2133758	8583.0			23986306.0							174377.0				20820.0	17386.0			13691.0		294538.0	71968			36088.0	22812238.0	82753416.0	8717.0				123401.0					116300.0	21424.0								633608.0							10513930		21968.0	320.0	1783.0		50085.0	3296.0			28249	103056.0	36117			62707.0					118015.0		22763.0			8517	51379.0							14545.0				99992.0		13373.0	33722.0	10563.0							55851.0	26924.0	26781.0			17109.0	6363.0				34639.0	38261.0	747005.0							94408.0		4243.0			123561.0	0.0	58363.0		16178.0	75079.0			23780.0			15918.0			70615.0					163770.0				38634.0					654.0		0.0		24531	6737.0	780290.0					69813		493832	1006258	771962.0	507662.0	1645479	1570858.0	310678	3414705	1801677	361705	78915.0		38915.0	131782.0	39613.0	29583.0
s00054						7793.0		30828	81770.0	1202584.0		39544252	79685.0	81924.0			3631.0		20589290.0	16954.0			13.0	517079	125440.0			581332		12346474	316404.0	17395656		99651.0			13758.0		265898	9178.0			1259.0	145739.0		33431.0	32339.0	449171	393714.0		13740.0			3204428.0	14031.0				85534.0	6689.0			7399.0						21857	12645.0			1028177.0		71042.0		22576.0		720711.0			6474199.0			96581.0	51178.0		52549.0		1842322.0		12851.0			4171.0	13707.0		25508.0	3946.0	16012.0		10511.0	642820.0	807471.0	2126610	26181.0			24045530.0							168673.0				19436.0	18762.0			11649.0		248681.0	70470			87795.0	23228460.0	81084336.0	7712.0				119292.0					115997.0	21550.0								388718.0							10458436		6353.0	254.0	3692.0		53727.0	7623.0			24074	97360.0	39728			61680.0					112285.0		20850.0			10258	51171.0							10516.0				102332.0		13683.0	33099.0	9472.0							47502.0	16274.0	29291.0			16658.0	2082.0				34558.0	34660.0	414112.0							52400.0		675.0			116075.0	0.0	29774.0		16527.0	77489.0			23061.0			18056.0			47167.0					166951.0				40076.0					3347.0		0.0		22150	10201.0	493528.0					68234		491061	1021672	799769.0	483854.0	1641623	1562539.0	305307	3288230	1800206	358307	81326.0		37743.0	121225.0	43175.0	28717.0
s00017						157.0		410	4570.0	11867.0		387463	21397.0	375.0			105.0		229065.0	0.0			262.0	3110	133.0			6580		27680	13380.0	10486		72293.0			0.0		2777	0.0			0.0	1605.0		1906.0	161.0	2140	480.0		0.0			207791.0	18095.0				918.0	2849.0			9945.0						501	0.0			557.0		240.0		443.0		1031.0			182.0			3403.0	379.0		700.0		343.0		886.0			744.0	110.0		2180.0	1491.0	1587.0		255.0	0.0	0.0	2135	108.0			2868.0							2282.0				629.0	1787.0			517.0		350.0	2655			18545.0	7309.0	9948.0	334.0				6613.0					421.0	478.0								124.0							716		128.0	464.0	338.0		277.0	279.0			0	0.0	0			0.0					128.0		0.0			125	471.0							265.0				0.0		0.0	0.0	0.0							766.0	0.0	111.0			0.0	0.0				0.0	12659.0	0.0							260.0		0.0			110.0	0.0	0.0		26918.0	0.0			0.0			0.0			908.0					0.0				0.0					0.0		0.0		0	0.0	1346447.0					0		126	611	681.0	4401.0	3454	114.0	3924	458	114	556	0.0		0.0	522128.0	589.0	0.0
s00099						7387.0		3950911	573450.0	1296954.0		38433128	37006.0	234194.0			4727.0		1879926.0	11619.0			189027.0	1224257	106594.0			887455		10832173	1672623.0	9604383		103743.0			1051.0		511091	2335.0			873712.0	274978.0		40471.0	31208.0	257606	1186654.0		19677.0			12445345.0	46885.0				357336.0	5361.0			5207.0						19413	7331.0			588915.0		234114.0		19347.0		1281998.0			4535684.0			82386.0	54970.0		5692.0		1680621.0		13931.0			7547.0	15656.0		27271.0	3007.0	17053.0		29173.0	895197.0	831663.0	2027831	1059660.0			21934784.0							140098.0				14402.0	14119.0			23876.0		432547.0	79169			51037.0	20770430.0	76933096.0	14557.0				155604.0					156518.0	19158.0								1454602.0							9131462		29508.0	102792.0	638.0		40011.0	4694.0			24231	365.0	34294			39830.0					111735.0		24318.0			11073	41678.0							9828.0				109497.0		12563.0	45941.0	7595.0							44221.0	96120.0	28226.0			26369.0	4841.0				31509.0	23411.0	1344393.0							29577.0		10516.0			102735.0	12296.0	19016.0		15923.0	80263.0			1841.0			24063.0			82814.0					320154.0				29958.0					0.0		113.0		57853	33040.0	471160.0					119436		491973	1028522	694667.0	482635.0	1587548	1474100.0	265392	2823497	1656724	248969	86341.0		38800.0	84686.0	32183.0	18806.0
s00088						6653.0		397201	2775778.0	1426678.0		49916444	307105.0	127368.0			3295.0		28530008.0	14361.0			223044.0	43590	117575.0			569474		12491883	123427.0	10477901		28487.0			170.0		208178	1143.0			776621.0	2719.0		16901.0	1057207.0	25253	327817.0		29100.0			1274720.0	17422.0				8128.0	3816.0			7921.0						19974	12641.0			335362.0		24115.0		1006.0		4961.0			5215000.0			81806.0	39605.0		47902.0		2180761.0		4384.0			40374.0	13218.0		18666.0	13430.0	24165.0		1044.0	605472.0	15129.0	2178045	709482.0			22805450.0							149903.0				48599.0	25614.0			22206.0		273858.0	85416			54265.0	21884492.0	77576464.0	9241.0				166886.0					129539.0	5758.0								18778.0							12299800		5305.0	33094.0	4359.0		49662.0	4037.0			27295	0.0	41193			58790.0					85205.0		17731.0			7248	59508.0							13292.0				86707.0		13640.0	57831.0	3361.0							53995.0	1752.0	24018.0			16789.0	984.0				24288.0	34196.0	499438.0							0.0		5993.0			3956.0	0.0	312.0		16418.0	20964.0			0.0			23624.0			56432.0					454779.0				632.0					43.0		1312.0		36769	833.0	474787.0					80228		491637	1116473	766213.0	507964.0	1602491	1610454.0	299435	2846557	1723119	311073	81427.0		42060.0	109694.0	38393.0	29269.0
s00004						126.0		122	4486.0	5991.0		200414	57912.0	0.0			116.0		307950.0	0.0			0.0	1601	160.0			7714		23948	14841.0	3475		248362.0			0.0		6649	127.0			121.0	875.0		820.0	160.0	3734	2696.0		284.0			232798.0	6030.0				818.0	4769.0			4509.0						998	0.0			835.0		86.0		579.0		777.0			858.0			2370.0	2929.0		1576.0		0.0		433.0			964.0	0.0		1942.0	883.0	3020.0		547.0	135.0	153.0	3504	468.0			5774.0							302.0				160.0	1319.0			146.0		0.0	3605			14829.0	16755.0	2707.0	216.0				9109.0					562.0	636.0								103.0							319		136.0	588.0	152.0		262.0	506.0			0	360.0	121			115.0					0.0		102.0			116	154.0							297.0				105.0		111.0	0.0	0.0							1543.0	0.0	106.0			0.0	0.0				0.0	15470.0	0.0							0.0		0.0			0.0	0.0	0.0		32253.0	0.0			107.0			0.0			30.0					0.0				0.0					0.0		0.0		0	0.0	1744216.0					0		0	1004	1338.0	1981.0	3510	0.0	3066	1002	0	1029	0.0		137.0	3171344.0	408.0	0.0
s00045						8880.0		788971	2355791.0	1355562.0		46908424	689976.0	129648.0			8533.0		34639588.0	15376.0			123466.0	301763	124434.0			285822		9041123	181442.0	5641646		38386.0			8010.0		282516	6079.0			407972.0	40499.0		46399.0	250844.0	225306	452019.0		24472.0			1786118.0	16453.0				19435.0	185348.0			8326.0						25082	5426.0			820171.0		45494.0		15998.0		55658.0			4719054.0			94666.0	47252.0		51256.0		2027030.0		4655.0			20101.0	16376.0		25418.0	27905.0	18606.0		22846.0	593802.0	399593.0	2228732	542064.0			22474198.0							159599.0				70243.0	30861.0			25220.0		223685.0	118869			86721.0	25356078.0	82984752.0	8180.0				157719.0					139139.0	13782.0								63110.0							11498473		19914.0	25244.0	3550.0		61187.0	3071.0			25028	23894.0	39321			71872.0					154809.0		25377.0			29961	60140.0							9701.0				101981.0		14538.0	48834.0	6754.0							43243.0	8328.0	30319.0			18515.0	8779.0				32550.0	36793.0	557751.0							200922.0		25299.0			52431.0	2071.0	9154.0		20144.0	57324.0			8333.0			21874.0			87472.0					359943.0				21121.0					1770.0		15771.0		37374	267.0	786158.0					51172		465040	999359	601937.0	429052.0	1413132	1394701.0	247440	2727120	1527614	256625	70200.0		39616.0	187527.0	42014.0	28865.0
