	experiment	sample_type	media	subculture_time	preculture_time	c18positive	c18negative	hilicpositive	culture_source	taxonomy	grouped_taxonomy	kingdom	phylum	class	order	family	genus	species	strain	morphology
3	20181030.0	supernatant	pyg	16.0	30.0	s03081	s03182	s02980	c0082	Coprococcus sp. HPP0074 BEI HM-793	Coprococcus	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Coprococcus		HPP0074	
4	20190228.0	media_blank	mm	17.25		s03818	s03658	s03513												
5	20190228.0	media_blank	mm	17.25		s03819	s03659	s03514												
6	20190228.0	media_blank	mm	17.25		s03820	s03660	s03515												
13	20181030.0	supernatant	mm	12.0	30.0	s03029	s03130	s02928	c0206	Bacteroides thetaiotaomicron VPI 5482	Bacteroides thetaiotaomicron	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Bacteroidaceae	Bacteroides	thetaiotaomicron		
14	20180512.0	supernatant	mm	12.0	24.0	s00010	s00131	s00218	c0009	Anaerostipes sp. 3_2_56FAA BEI HM-220 904a	Anaerostipes	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Anaerostipes		3_2_56FAA	904a
15	20180512.0	supernatant	mm	12.0	24.0	s00011	s00132	s00219	c0009	Anaerostipes sp. 3_2_56FAA BEI HM-220 904a	Anaerostipes	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Anaerostipes		3_2_56FAA	904a
16	20180512.0	supernatant	mm	12.0	24.0	s00012	s00133	s00220	c0009	Anaerostipes sp. 3_2_56FAA BEI HM-220 904a	Anaerostipes	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Anaerostipes		3_2_56FAA	904a
17	20180512.0	supernatant	mm	12.0	24.0	s00013	s00134	s00221	c0009	Anaerostipes sp. 3_2_56FAA BEI HM-220 904a	Anaerostipes	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Anaerostipes		3_2_56FAA	904a
18	20180512.0	supernatant	mm	12.0	24.0	s00014	s00135	s00222	c0009	Anaerostipes sp. 3_2_56FAA BEI HM-220 904a	Anaerostipes	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Anaerostipes		3_2_56FAA	904a
20	20180716.0	supernatant	mm	16.0	29.0	s01826	s01948	s02056	c0251	Bifidobacterium pseudocatenulatum DSMZ 20438	Bifidobacterium pseudocatenulatum	Bacteria	Actinobacteria	Actinobacteria	Bifidobacteriales	Bifidobacteriaceae	Bifidobacterium	pseudocatenulatum		
21	20180716.0	supernatant	mm	16.0	29.0	s01827	s01949	s02057	c0251	Bifidobacterium pseudocatenulatum DSMZ 20438	Bifidobacterium pseudocatenulatum	Bacteria	Actinobacteria	Actinobacteria	Bifidobacteriales	Bifidobacteriaceae	Bifidobacterium	pseudocatenulatum		
22	20180716.0	supernatant	mm	16.0	29.0	s01828	s01950	s02058	c0251	Bifidobacterium pseudocatenulatum DSMZ 20438	Bifidobacterium pseudocatenulatum	Bacteria	Actinobacteria	Actinobacteria	Bifidobacteriales	Bifidobacteriaceae	Bifidobacterium	pseudocatenulatum		
23	20181030.0	supernatant	mm	16.0	30.0	s03074	s03175	s02973	c0034	Clostridium aldenense WAL-18727 BEI HM-307	Clostridium aldenense	Bacteria	Firmicutes	Clostridia	Clostridiales	Clostridaceae	Clostridium	aldenense	WAL-18727	
24	20180629.0	supernatant	mm	24.0	25.0	s01658	s01476	s01288	c0198	Bacteroides thetaiotaomicron 7853	Bacteroides thetaiotaomicron	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Bacteroidaceae	Bacteroides	thetaiotaomicron	7853	
