	m_hilicp_0000	m_hilicp_0003	m_hilicp_0004	m_hilicp_0005	m_hilicp_0006	m_hilicp_0010	m_hilicp_0011	m_hilicp_0013	m_hilicp_0017	m_hilicp_0021	m_hilicp_0022	m_hilicp_0023	m_hilicp_0024	m_hilicp_0026	m_hilicp_0029	m_hilicp_0030	m_hilicp_0033	m_hilicp_0035	m_hilicp_0036	m_hilicp_0042	m_hilicp_0043	m_hilicp_0046	m_hilicp_0047	m_hilicp_0048	m_hilicp_0049	m_hilicp_0051	m_hilicp_0055	m_hilicp_0056	m_hilicp_0057	m_hilicp_0058	m_hilicp_0060	m_hilicp_0061	m_hilicp_0064	m_hilicp_0065	m_hilicp_0069	m_hilicp_0071	m_hilicp_0072	m_hilicp_0074	m_hilicp_0075	m_hilicp_0076	m_hilicp_0077	m_hilicp_0078	m_hilicp_0079	m_hilicp_0080	m_hilicp_0082	m_hilicp_0084	m_hilicp_0085	m_hilicp_0087	m_hilicp_0088	m_hilicp_0090	m_hilicp_0091	m_hilicp_0092	m_hilicp_0093	m_hilicp_0095	m_hilicp_0096	m_hilicp_0097	m_hilicp_0098	m_hilicp_0099	m_hilicp_0100	m_hilicp_0101	m_hilicp_0102	m_hilicp_0104	m_hilicp_0107	m_hilicp_0113	m_hilicp_0116	m_hilicp_0120	m_hilicp_0121	m_hilicp_0123	m_hilicp_0124	m_hilicp_0125	m_hilicp_0127	m_hilicp_0129	m_hilicp_0131	m_hilicp_0132	m_hilicp_0134	m_hilicp_0137	m_hilicp_0138	m_hilicp_0139	m_hilicp_0141	m_hilicp_0142	m_hilicp_0145	m_hilicp_0146	m_hilicp_0149	m_hilicp_0152	m_hilicp_0154	m_hilicp_0155	m_hilicp_0158	m_hilicp_0160	m_hilicp_0161	m_hilicp_0164	m_hilicp_0165	m_hilicp_0168	m_hilicp_0169	m_hilicp_0176	m_hilicp_0180	m_hilicp_0184	m_hilicp_0185	m_hilicp_0187	m_hilicp_0188	m_hilicp_0189	m_hilicp_0190	m_hilicp_0192	m_hilicp_0193	m_hilicp_0194	m_hilicp_0195	m_hilicp_0197	m_hilicp_0200	m_hilicp_0204	m_hilicp_0205	m_hilicp_0206	m_hilicp_0207	m_hilicp_0210	m_hilicp_0211	m_hilicp_0212	m_hilicp_0215	m_hilicp_0223	m_hilicp_0225	m_hilicp_0227	m_hilicp_0229	m_hilicp_0230	m_hilicp_0231	m_hilicp_0235	m_hilicp_0236	m_hilicp_0237	m_hilicp_0238	m_hilicp_0241	m_hilicp_0242	m_hilicp_0244	m_hilicp_0247	m_hilicp_0253	m_hilicp_0255	m_hilicp_0256	m_hilicp_0259	m_hilicp_0264	m_hilicp_0265	m_hilicp_0267	m_hilicp_0270	m_hilicp_0271	m_hilicp_0272	m_hilicp_0273	m_hilicp_0278	m_hilicp_0279	m_hilicp_0291	m_hilicp_0292	m_hilicp_0293	m_hilicp_0295	m_hilicp_0305	m_hilicp_0306	m_hilicp_0310	m_hilicp_0312	m_hilicp_0315	m_hilicp_0316	m_hilicp_0318	m_hilicp_0321	m_hilicp_0322	m_hilicp_0326	m_hilicp_0332	m_hilicp_0338	m_hilicp_0347	m_hilicp_0353	m_hilicp_0356	m_hilicp_0357	m_hilicp_0358	m_hilicp_0359	m_hilicp_0360	m_hilicp_0361	m_hilicp_0362	m_hilicp_0363	m_hilicp_0364	m_hilicp_0365	m_hilicp_0366	m_hilicp_0367
s00242			34013848.0	688652.0		2603879.0	14407450.0	12734160.0			823924.0		61119.0	3153312.0	6069.0	5845750.0		9102.0		30840834.0	53407.0		9188.0		1816820.0	17920126.0	76604568.0		190364.0		135924					104491.0	14749.0		109162.0	16386.0	12152.0	398196.0			628244.0			2217247.0			54066.0			60548.0	51777		14722158	122498.0	6084536.0	6088371.0		5725098.0			3328.0		5852716.0	34522.0				14849.0		32163.0		82966.0		226175.0			37327712					21386.0	15895195		250337.0					539198.0					189220.0		510297.0		56931.0						177004.0			52195	3398786	79488.0		53145.0	41283.0	24573.0	99535.0		338979.0				10018.0	15641.0	8769.0	597226.0				155362.0	1627.0						87701.0			155848.0			175622.0		195292.0					39203.0	30825.0										274048.0	516926.0	279542.0	489912.0	944227	708012			773063.0	
s00236			23881798.0	433575.0		1664609.0	12892927.0	12203250.0			1306358.0		75525.0	2697100.0	9950.0	4888356.0		65341.0		26908888.0	72394.0		4649.0		112451.0	28906860.0	75118760.0		211270.0		1828					838842.0	18263.0		209896.0	221307.0	2582654.0	580939.0			567490.0			3676553.0			51118.0			26503.0	75610		16161799	250765.0	8646.0	2841.0		7600235.0			6334.0		16259.0	31639.0				181229.0		26084.0		87784.0		213671.0			35028944					24949.0	16915294		225727.0					424780.0					204662.0		481972.0		51099.0						57408.0			8287	3981498	80908.0		64949.0	30265.0	29211.0	9745.0		366482.0				4271.0	7698.0	3458.0	421028.0				226640.0	1565.0						6726.0			145617.0			165897.0		179758.0					112.0	45523.0										261427.0	485589.0	404303.0	479028.0	1061299	703502			768421.0	
s00251			22486298.0	559697.0		1760749.0	13612850.0	9715337.0			1064831.0		62892.0	1679903.0	58629.0	4921044.0		40175.0		3831684.0	3043155.0		5510.0		111202.0	22809612.0	74880512.0		5864157.0		2642					145312.0	17995.0		707962.0	294718.0	982608.0	1219250.0			570667.0			2799077.0			55922.0			26122.0	2560380		12438244	177717.0	7025.0	28307.0		7438028.0			10060.0		4804220.0	34395.0				16363.0		19986.0		87230.0		191047.0			34072812					9715.0	13156739		310040.0					332928.0					48146.0		457107.0		50342.0						78775.0			82488	3954529	82241.0		58727.0	54706.0	23983.0	266289.0		341412.0				7114.0	16296.0	7392.0	588102.0				169429.0	6846.0						8937.0			125603.0			144825.0		151238.0					0.0	29020.0										209248.0	474872.0	243867.0	446412.0	1044891	738707			750245.0	
s00221			20093304.0	375912.0		61639.0	14257242.0	9405071.0			81267.0		78965.0	2015026.0	5426.0	5153006.0		9068.0		23825374.0	2249805.0		7948.0		103770.0	29042924.0	76052232.0		3886555.0		1944					100610.0	10877.0		1434321.0	320048.0	19104.0	378469.0			566702.0			3749809.0			51287.0			36339.0	2462774		13670249	120809.0	5178969.0	5211746.0		6291732.0			18147.0		4141393.0	36600.0				17407.0		16155.0		73493.0		179548.0			33992068					5085.0	15542882		208319.0					260812.0					39615.0		462255.0		47412.0						52596.0			7365	3755666	83618.0		67067.0	32363.0	25345.0	284948.0		380077.0				3525.0	8106.0	35070.0	353941.0				225599.0	2622739.0						91273.0			135300.0			182481.0		166136.0					0.0	13290.0										213916.0	454249.0	278532.0	440690.0	1024552	698938			763765.0	
s00225			287646.0	14427.0		4067.0	51334.0	83249.0			11088.0		294.0	12185.0	34768.0	26137.0		6438.0		42674.0	37394.0		236.0		7350.0	12872.0	1402687.0		37074.0		1748					10677.0	3388.0		6311.0	5499.0	1615.0	2271.0			1633.0			9446.0			8008.0			421.0	13367		62045	701.0	29691.0	4314.0		8228.0			4779.0		89319.0	1630.0				1449.0		2286.0		1793.0		3529.0			91755					4835.0	111940		2120.0					3713.0					1802.0		6062.0		419.0						600.0			3448	3752	863.0		1183.0	288.0	540.0	2949.0		334.0				133.0	607.0	107.0	733.0				873.0	867.0						0.0			112.0			0.0		135.0					0.0	0.0										465.0	1057.0	643.0	1110.0	396	0			4296.0	
s00212			207804.0	10423.0		2142.0	49900.0	25300.0			5581.0		309.0	14457.0	98755.0	23079.0		8096.0		15426.0	15616.0		146.0		12505.0	3850.0	284660.0		15321.0		6359					6955.0	4157.0		3298.0	2149.0	2508.0	1707.0			1729.0			2541.0			7289.0			1056.0	1908		49424	2180.0	15065.0	880.0		13188.0			3172.0		22212.0	868.0				1853.0		16892.0		1197.0		2105.0			44411					3147.0	148258		2522.0					1307.0					4023.0		3156.0		1088.0						1139.0			2151	3512	2136.0		1828.0	2633.0	457.0	1384.0		179.0				118.0	111.0	174.0	320.0				1064.0	1359.0						196.0			0.0			0.0		0.0					101.0	0.0										619.0	1498.0	969.0	1458.0	128	102			1903.0	
s00254			188510.0	12098.0		2001.0	49402.0	230562.0			10173.0		311.0	9952.0	10973.0	21178.0		3816.0		38257.0	26136.0		575.0		16237.0	5638.0	275091.0		28863.0		2029					9267.0	4250.0		2662.0	3229.0	913.0	4207.0			1661.0			3874.0			2819.0			447.0	4587		57781	811.0	17514.0	3396.0		4521.0			1988.0		25629.0	1191.0				1430.0		1551.0		1988.0		2792.0			93860					4186.0	197742		2635.0					4880.0					2657.0		5246.0		552.0						1127.0			3707	10165	1893.0		1218.0	1754.0	424.0	1446.0		264.0				990.0	279.0	0.0	269.0				1499.0	797.0						122.0			0.0			0.0		107.0					119.0	102.0										661.0	1811.0	688.0	948.0	665	108			3424.0	
s00248			21201030.0	627821.0		2130950.0	13348138.0	9814067.0			952133.0		68044.0	2177300.0	78334.0	4616773.0		52178.0		183057.0	2807401.0		7964.0		115098.0	21991290.0	74193624.0		6004622.0		6272					158368.0	18255.0		562525.0	289047.0	314362.0	1073546.0			555716.0			2618923.0			59437.0			35658.0	2316041		12739880	135459.0	7878.0	22210.0		7050633.0			12465.0		4685298.0	29846.0				20636.0		16750.0		81695.0		189252.0			33337566					6886.0	13091845		309343.0					317735.0					52606.0		470922.0		48070.0						71957.0			98416	3940930	81319.0		53056.0	56742.0	23267.0	257339.0		442789.0				6139.0	17819.0	9559.0	536057.0				160495.0	6081.0						10059.0			119480.0			132600.0		145669.0					0.0	17804.0										219412.0	478748.0	237272.0	469394.0	942438	684360			765851.0	
s00217			24549100.0	351537.0		1246296.0	12456321.0	11464985.0			1018368.0		70352.0	2715649.0	13035.0	5085802.0		63132.0		54474564.0	52060.0		9623.0		116075.0	28241602.0	76232784.0		176808.0		744					205478.0	16344.0		238293.0	161834.0	3608266.0	118549.0			579704.0			2734088.0			50887.0			47519.0	49632		14342681	76705.0	4754.0	1406.0		6716193.0			3928.0		9747.0	31697.0				19158.0		32188.0		103077.0		219195.0			32897690					15632.0	15857933		202711.0					417489.0					206164.0		499459.0		46085.0						53564.0			8565	3739104	77875.0		57436.0	32456.0	26841.0	2708.0		298393.0				4196.0	17422.0	35718.0	407523.0				243587.0	2933423.0						6795.0			129665.0			145041.0		161866.0					0.0	41795.0										253418.0	481431.0	280337.0	510943.0	832835	718097			826079.0	
s00240			103564.0	11422.0		1465.0	51375.0	174050.0			9996.0		827.0	12223.0	18206.0	23780.0		5043.0		27630.0	17643.0		369.0		11660.0	8013.0	279401.0		24664.0		3430					12108.0	2928.0		9453.0	4738.0	1228.0	3679.0			1574.0			1450.0			5906.0			156.0	5402		64885	2277.0	16079.0	3218.0		5050.0			5551.0		21510.0	1512.0				2463.0		4909.0		3558.0		2686.0			97208					7614.0	181653		1925.0					1985.0					2278.0		2564.0		900.0						1387.0			3577	6848	3057.0		777.0	1865.0	527.0	2327.0		322.0				485.0	201.0	114.0	1262.0				1653.0	638.0						371.0			0.0			0.0		109.0					0.0	124.0										418.0	1836.0	411.0	1059.0	119	0			3027.0	
