taxonomy	experiment	media	c18positive	c18negative	hilicpositive
Bacteroides finegoldii CL09T03C10 BEI HM-727	20181108	mm	s03244	s03327	s03410
Bacteroides finegoldii CL09T03C10 BEI HM-727	20181108	mm	s03245	s03328	s03411
Bacteroides finegoldii CL09T03C10 BEI HM-727	20181108	mm	s03246	s03329	s03412
Bacteroides fragilis NCTC 9343	20180512	mm	s00388	s00264	s00511
Bacteroides fragilis NCTC 9343	20180512	mm	s00389	s00265	s00512
Bacteroides fragilis NCTC 9343	20180512	mm	s00390	s00266	s00513
Bacteroides fragilis NCTC 9343	20180512	mm	s00391	s00267	s00514
Bacteroides sp. 4_1_36 BEI HM-258	20180512	mm	s00430	s00306	s00553
Bacteroides sp. 4_1_36 BEI HM-258	20180512	mm	s00431	s00307	s00554
Bacteroides sp. 4_1_36 BEI HM-258	20180512	mm	s00432	s00308	s00555
Bacteroides sp. 4_1_36 BEI HM-258	20180512	mm	s00433	s00309	s00556
Bacteroides sp. 4_1_36 BEI HM-258	20180512	mm	s00434	s00310	s00557
Bacteroides thetaiotaomicron wh305	20181108	mm	s03241	s03324	s03407
Bacteroides thetaiotaomicron wh305	20181108	mm	s03242	s03325	s03408
Bacteroides thetaiotaomicron wh305	20181108	mm	s03243	s03326	s03409
Clostridium hathewayi WAL-18680 BEI HM-308	20180512	mm	s00473	s00349	s00596
Clostridium hathewayi WAL-18680 BEI HM-308	20180512	mm	s00474	s00350	s00597
Clostridium hathewayi WAL-18680 BEI HM-308	20180512	mm	s00475	s00351	s00598
Clostridium hathewayi WAL-18680 BEI HM-308	20180512	mm	s00476	s00352	s00599
Clostridium hathewayi WAL-18680 BEI HM-308	20180512	mm	s00477	s00353	s00600
Coprococcus sp. HPP0074 BEI HM-793	20181108	mm	s03216	s03299	s03382
Coprococcus sp. HPP0074 BEI HM-793	20181108	mm	s03217	s03300	s03383
Coprococcus sp. HPP0074 BEI HM-793	20181108	mm	s03218	s03301	s03384
Slackia exigua ATCC 700122	20190228	mm	s03824	s03664	s03519
Slackia exigua ATCC 700122	20190228	mm	s03825	s03665	s03520
Slackia exigua ATCC 700122	20190228	mm	s03826	s03666	s03521
