	dn000	dn001	dn002	dn003	dn004	dn005	dn006	dn007	dn008	dn009	dn010	dn011	dn012	dn013	dn014	dn015	dn016	dn017	dn018	dn019	dn020	dn021	dn022	dn023	dn024	dn025	dn026	dn027	dn028	dn029	dn030	dn031	dn032	dn033	dn034	dn035	dn036	dn037	dn038	dn039	dn040	dn041	dn042	dn043	dn044	dn045	dn046	dn047	dn048	dn049	dn050	dn051	dn052	dn053	dn054	dn055	dn056	dn057	dn058	dn059	dn060	dn061	dn062	dn063	dn064	dn065	dn066	dn067	dn068	dn069	dn070	dn071	dn072	dn073	dn074	dn075	dn076	dn077	dn078	dn079	dn080	dn081	dn082	dn083	dn084	dn085	dn086	dn087	dn088	dn089	dn090	dn091	dn092	dn093	dn094	dn095	dn096	dn097	dn098	dn099	dn100	dn101	dn102	dn103	dn104	dn105	dn106	dn107	dn108	dn109	dn110	dn111	dn112	dn113	dn114	dn115	dn116	dn117	dn118	dn119	dn120	dn121	dn122	dn123	dn124	dn125	dn126	dn127	dn128	dn129	dn130	dn131	dn132	dn133	dn134	dn135	dn136	dn137	dn138	dn139	dn140	dn141	dn142	dn143	dn144	dn145	dn146	dn147	dn148	dn149	dn150	dn151	dn152	dn153	dn154	dn155	dn156	dn157
dn000	0.0	19.419418038717538	22.278044284615852	65.868369375555	65.868369375555	65.868369375555	65.868369375555	146.6932020117701	146.6932020117701	80.99719013784183	126.52331952142757	126.52331952142757	126.52331952142757	126.52331952142757	65.868369375555	126.52331952142757	65.868369375555	126.52331952142757	126.52331952142757	65.868369375555	126.52331952142757	126.52331952142757	65.868369375555	126.52331952142757	126.52331952142757	126.52331952142757	126.52331952142757	126.52331952142757	126.52331952142757	126.52331952142757	126.52331952142757	126.52331952142757	126.52331952142757	126.52331952142757	126.52331952142757	126.52331952142757	126.52331952142757	65.868369375555	126.52331952142757	126.52331952142757	126.52331952142757	126.52331952142757	126.52331952142757	126.52331952142757	126.52331952142757	126.52331952142757	126.52331952142757	126.52331952142757	126.52331952142757	126.52331952142757	126.52331952142757	126.52331952142757	126.52331952142757	126.52331952142757	126.52331952142757	126.52331952142757	126.52331952142757	126.52331952142757	126.52331952142757	146.6932020117701	65.868369375555	65.868369375555	146.6932020117701	65.868369375555	146.6932020117701	146.6932020117701	146.6932020117701	146.6932020117701	65.868369375555	146.6932020117701	146.6932020117701	80.99719013784183	146.6932020117701	146.6932020117701	146.6932020117701	146.6932020117701	80.99719013784183	146.6932020117701	146.6932020117701	80.99719013784183	80.99719013784183	80.99719013784183	80.99719013784183	60.50676095201426	60.50676095201426	80.99719013784183	80.99719013784183	80.99719013784183	146.6932020117701	65.868369375555	65.868369375555	146.6932020117701	146.6932020117701	146.6932020117701	146.6932020117701	80.99719013784183	80.99719013784183	65.868369375555	65.868369375555	146.6932020117701	65.868369375555	65.868369375555	65.868369375555	126.52331952142757	65.868369375555	146.6932020117701	65.868369375555	65.868369375555	146.6932020117701	146.6932020117701	146.6932020117701	65.868369375555	65.868369375555	65.868369375555	65.868369375555	65.868369375555	32.22103013094409	32.22103013094409	36.12726146785816	65.868369375555	65.868369375555	146.6932020117701	146.6932020117701	80.99719013784183	126.52331952142757	146.6932020117701	65.868369375555	80.99719013784183	146.6932020117701	146.6932020117701	65.868369375555	65.868369375555	80.99719013784183	146.6932020117701	146.6932020117701	80.99719013784183	126.52331952142757	65.868369375555	65.868369375555	65.868369375555	65.868369375555	65.868369375555	80.99719013784183	146.6932020117701	146.6932020117701	146.6932020117701	65.868369375555	146.6932020117701	146.6932020117701	65.868369375555	65.868369375555	80.99719013784183	65.868369375555	146.6932020117701	146.6932020117701	65.868369375555	126.52331952142757	65.868369375555
dn001	19.419418038717538	0.0	22.278044284615852	65.868369375555	65.868369375555	65.868369375555	65.868369375555	146.6932020117701	146.6932020117701	80.99719013784183	126.52331952142757	126.52331952142757	126.52331952142757	126.52331952142757	65.868369375555	126.52331952142757	65.868369375555	126.52331952142757	126.52331952142757	65.868369375555	126.52331952142757	126.52331952142757	65.868369375555	126.52331952142757	126.52331952142757	126.52331952142757	126.52331952142757	126.52331952142757	126.52331952142757	126.52331952142757	126.52331952142757	126.52331952142757	126.52331952142757	126.52331952142757	126.52331952142757	126.52331952142757	126.52331952142757	65.868369375555	126.52331952142757	126.52331952142757	126.52331952142757	126.52331952142757	126.52331952142757	126.52331952142757	126.52331952142757	126.52331952142757	126.52331952142757	126.52331952142757	126.52331952142757	126.52331952142757	126.52331952142757	126.52331952142757	126.52331952142757	126.52331952142757	126.52331952142757	126.52331952142757	126.52331952142757	126.52331952142757	126.52331952142757	146.6932020117701	65.868369375555	65.868369375555	146.6932020117701	65.868369375555	146.6932020117701	146.6932020117701	146.6932020117701	146.6932020117701	65.868369375555	146.6932020117701	146.6932020117701	80.99719013784183	146.6932020117701	146.6932020117701	146.6932020117701	146.6932020117701	80.99719013784183	146.6932020117701	146.6932020117701	80.99719013784183	80.99719013784183	80.99719013784183	80.99719013784183	60.50676095201426	60.50676095201426	80.99719013784183	80.99719013784183	80.99719013784183	146.6932020117701	65.868369375555	65.868369375555	146.6932020117701	146.6932020117701	146.6932020117701	146.6932020117701	80.99719013784183	80.99719013784183	65.868369375555	65.868369375555	146.6932020117701	65.868369375555	65.868369375555	65.868369375555	126.52331952142757	65.868369375555	146.6932020117701	65.868369375555	65.868369375555	146.6932020117701	146.6932020117701	146.6932020117701	65.868369375555	65.868369375555	65.868369375555	65.868369375555	65.868369375555	32.22103013094409	32.22103013094409	36.12726146785816	65.868369375555	65.868369375555	146.6932020117701	146.6932020117701	80.99719013784183	126.52331952142757	146.6932020117701	65.868369375555	80.99719013784183	146.6932020117701	146.6932020117701	65.868369375555	65.868369375555	80.99719013784183	146.6932020117701	146.6932020117701	80.99719013784183	126.52331952142757	65.868369375555	65.868369375555	65.868369375555	65.868369375555	65.868369375555	80.99719013784183	146.6932020117701	146.6932020117701	146.6932020117701	65.868369375555	146.6932020117701	146.6932020117701	65.868369375555	65.868369375555	80.99719013784183	65.868369375555	146.6932020117701	146.6932020117701	65.868369375555	126.52331952142757	65.868369375555
dn002	22.278044284615852	22.278044284615852	0.0	65.868369375555	65.868369375555	65.868369375555	65.868369375555	146.6932020117701	146.6932020117701	80.99719013784183	126.52331952142757	126.52331952142757	126.52331952142757	126.52331952142757	65.868369375555	126.52331952142757	65.868369375555	126.52331952142757	126.52331952142757	65.868369375555	126.52331952142757	126.52331952142757	65.868369375555	126.52331952142757	126.52331952142757	126.52331952142757	126.52331952142757	126.52331952142757	126.52331952142757	126.52331952142757	126.52331952142757	126.52331952142757	126.52331952142757	126.52331952142757	126.52331952142757	126.52331952142757	126.52331952142757	65.868369375555	126.52331952142757	126.52331952142757	126.52331952142757	126.52331952142757	126.52331952142757	126.52331952142757	126.52331952142757	126.52331952142757	126.52331952142757	126.52331952142757	126.52331952142757	126.52331952142757	126.52331952142757	126.52331952142757	126.52331952142757	126.52331952142757	126.52331952142757	126.52331952142757	126.52331952142757	126.52331952142757	126.52331952142757	146.6932020117701	65.868369375555	65.868369375555	146.6932020117701	65.868369375555	146.6932020117701	146.6932020117701	146.6932020117701	146.6932020117701	65.868369375555	146.6932020117701	146.6932020117701	80.99719013784183	146.6932020117701	146.6932020117701	146.6932020117701	146.6932020117701	80.99719013784183	146.6932020117701	146.6932020117701	80.99719013784183	80.99719013784183	80.99719013784183	80.99719013784183	60.50676095201426	60.50676095201426	80.99719013784183	80.99719013784183	80.99719013784183	146.6932020117701	65.868369375555	65.868369375555	146.6932020117701	146.6932020117701	146.6932020117701	146.6932020117701	80.99719013784183	80.99719013784183	65.868369375555	65.868369375555	146.6932020117701	65.868369375555	65.868369375555	65.868369375555	126.52331952142757	65.868369375555	146.6932020117701	65.868369375555	65.868369375555	146.6932020117701	146.6932020117701	146.6932020117701	65.868369375555	65.868369375555	65.868369375555	65.868369375555	65.868369375555	32.22103013094409	32.22103013094409	36.12726146785816	65.868369375555	65.868369375555	146.6932020117701	146.6932020117701	80.99719013784183	126.52331952142757	146.6932020117701	65.868369375555	80.99719013784183	146.6932020117701	146.6932020117701	65.868369375555	65.868369375555	80.99719013784183	146.6932020117701	146.6932020117701	80.99719013784183	126.52331952142757	65.868369375555	65.868369375555	65.868369375555	65.868369375555	65.868369375555	80.99719013784183	146.6932020117701	146.6932020117701	146.6932020117701	65.868369375555	146.6932020117701	146.6932020117701	65.868369375555	65.868369375555	80.99719013784183	65.868369375555	146.6932020117701	146.6932020117701	65.868369375555	126.52331952142757	65.868369375555
dn003	65.868369375555	65.868369375555	65.868369375555	0.0	27.48183124469701	27.48183124469701	27.48183124469701	146.69320201177013	146.69320201177013	80.99719013784184	126.52331952142758	126.52331952142758	126.52331952142758	126.52331952142758	42.496454360428174	126.52331952142758	42.496454360428174	126.52331952142758	126.52331952142758	42.496454360428174	126.52331952142758	126.52331952142758	42.496454360428174	126.52331952142758	126.52331952142758	126.52331952142758	126.52331952142758	126.52331952142758	126.52331952142758	126.52331952142758	126.52331952142758	126.52331952142758	126.52331952142758	126.52331952142758	126.52331952142758	126.52331952142758	126.52331952142758	42.496454360428174	126.52331952142758	126.52331952142758	126.52331952142758	126.52331952142758	126.52331952142758	126.52331952142758	126.52331952142758	126.52331952142758	126.52331952142758	126.52331952142758	126.52331952142758	126.52331952142758	126.52331952142758	126.52331952142758	126.52331952142758	126.52331952142758	126.52331952142758	126.52331952142758	126.52331952142758	126.52331952142758	126.52331952142758	146.69320201177013	22.23110699676426	27.208820512252093	146.69320201177013	27.208820512252093	146.69320201177013	146.69320201177013	146.69320201177013	146.69320201177013	22.23110699676426	146.69320201177013	146.69320201177013	80.99719013784184	146.69320201177013	146.69320201177013	146.69320201177013	146.69320201177013	80.99719013784184	146.69320201177013	146.69320201177013	80.99719013784184	80.99719013784184	80.99719013784184	80.99719013784184	65.86836937555502	65.86836937555502	80.99719013784184	80.99719013784184	80.99719013784184	146.69320201177013	22.23110699676426	42.496454360428174	146.69320201177013	146.69320201177013	146.69320201177013	146.69320201177013	80.99719013784184	80.99719013784184	42.496454360428174	57.88229391434848	146.69320201177013	42.496454360428174	42.496454360428174	22.23110699676426	126.52331952142758	34.69983987395752	146.69320201177013	57.88229391434848	57.88229391434848	146.69320201177013	146.69320201177013	146.69320201177013	42.496454360428174	23.376909766458073	22.23110699676426	57.88229391434848	42.496454360428174	65.868369375555	65.868369375555	65.868369375555	57.88229391434848	23.376909766458073	146.69320201177013	146.69320201177013	80.99719013784184	126.52331952142758	146.69320201177013	27.208820512252093	80.99719013784184	146.69320201177013	146.69320201177013	23.376909766458073	57.88229391434848	80.99719013784184	146.69320201177013	146.69320201177013	80.99719013784184	126.52331952142758	42.496454360428174	42.496454360428174	42.496454360428174	42.496454360428174	42.496454360428174	80.99719013784184	146.69320201177013	146.69320201177013	146.69320201177013	42.496454360428174	146.69320201177013	146.69320201177013	42.496454360428174	42.496454360428174	80.99719013784184	34.69983987395752	146.69320201177013	146.69320201177013	42.496454360428174	126.52331952142758	22.23110699676426
dn004	65.868369375555	65.868369375555	65.868369375555	27.48183124469701	0.0	16.77279756592831	13.62997173800846	146.69320201177013	146.69320201177013	80.99719013784184	126.52331952142758	126.52331952142758	126.52331952142758	126.52331952142758	42.496454360428174	126.52331952142758	42.496454360428174	126.52331952142758	126.52331952142758	42.496454360428174	126.52331952142758	126.52331952142758	42.496454360428174	126.52331952142758	126.52331952142758	126.52331952142758	126.52331952142758	126.52331952142758	126.52331952142758	126.52331952142758	126.52331952142758	126.52331952142758	126.52331952142758	126.52331952142758	126.52331952142758	126.52331952142758	126.52331952142758	42.496454360428174	126.52331952142758	126.52331952142758	126.52331952142758	126.52331952142758	126.52331952142758	126.52331952142758	126.52331952142758	126.52331952142758	126.52331952142758	126.52331952142758	126.52331952142758	126.52331952142758	126.52331952142758	126.52331952142758	126.52331952142758	126.52331952142758	126.52331952142758	126.52331952142758	126.52331952142758	126.52331952142758	126.52331952142758	146.69320201177013	27.48183124469701	27.48183124469701	146.69320201177013	27.48183124469701	146.69320201177013	146.69320201177013	146.69320201177013	146.69320201177013	27.48183124469701	146.69320201177013	146.69320201177013	80.99719013784184	146.69320201177013	146.69320201177013	146.69320201177013	146.69320201177013	80.99719013784184	146.69320201177013	146.69320201177013	80.99719013784184	80.99719013784184	80.99719013784184	80.99719013784184	65.86836937555502	65.86836937555502	80.99719013784184	80.99719013784184	80.99719013784184	146.69320201177013	27.48183124469701	42.496454360428174	146.69320201177013	146.69320201177013	146.69320201177013	146.69320201177013	80.99719013784184	80.99719013784184	42.496454360428174	57.88229391434848	146.69320201177013	42.496454360428174	42.496454360428174	27.48183124469701	126.52331952142758	34.69983987395752	146.69320201177013	57.88229391434848	57.88229391434848	146.69320201177013	146.69320201177013	146.69320201177013	42.496454360428174	27.48183124469701	27.48183124469701	57.88229391434848	42.496454360428174	65.868369375555	65.868369375555	65.868369375555	57.88229391434848	27.48183124469701	146.69320201177013	146.69320201177013	80.99719013784184	126.52331952142758	146.69320201177013	27.48183124469701	80.99719013784184	146.69320201177013	146.69320201177013	27.48183124469701	57.88229391434848	80.99719013784184	146.69320201177013	146.69320201177013	80.99719013784184	126.52331952142758	42.496454360428174	42.496454360428174	42.496454360428174	42.496454360428174	42.496454360428174	80.99719013784184	146.69320201177013	146.69320201177013	146.69320201177013	42.496454360428174	146.69320201177013	146.69320201177013	42.496454360428174	42.496454360428174	80.99719013784184	34.69983987395752	146.69320201177013	146.69320201177013	42.496454360428174	126.52331952142758	27.48183124469701
dn005	65.868369375555	65.868369375555	65.868369375555	27.48183124469701	16.77279756592831	0.0	16.77279756592831	146.69320201177013	146.69320201177013	80.99719013784184	126.52331952142758	126.52331952142758	126.52331952142758	126.52331952142758	42.496454360428174	126.52331952142758	42.496454360428174	126.52331952142758	126.52331952142758	42.496454360428174	126.52331952142758	126.52331952142758	42.496454360428174	126.52331952142758	126.52331952142758	126.52331952142758	126.52331952142758	126.52331952142758	126.52331952142758	126.52331952142758	126.52331952142758	126.52331952142758	126.52331952142758	126.52331952142758	126.52331952142758	126.52331952142758	126.52331952142758	42.496454360428174	126.52331952142758	126.52331952142758	126.52331952142758	126.52331952142758	126.52331952142758	126.52331952142758	126.52331952142758	126.52331952142758	126.52331952142758	126.52331952142758	126.52331952142758	126.52331952142758	126.52331952142758	126.52331952142758	126.52331952142758	126.52331952142758	126.52331952142758	126.52331952142758	126.52331952142758	126.52331952142758	126.52331952142758	146.69320201177013	27.48183124469701	27.48183124469701	146.69320201177013	27.48183124469701	146.69320201177013	146.69320201177013	146.69320201177013	146.69320201177013	27.48183124469701	146.69320201177013	146.69320201177013	80.99719013784184	146.69320201177013	146.69320201177013	146.69320201177013	146.69320201177013	80.99719013784184	146.69320201177013	146.69320201177013	80.99719013784184	80.99719013784184	80.99719013784184	80.99719013784184	65.86836937555502	65.86836937555502	80.99719013784184	80.99719013784184	80.99719013784184	146.69320201177013	27.48183124469701	42.496454360428174	146.69320201177013	146.69320201177013	146.69320201177013	146.69320201177013	80.99719013784184	80.99719013784184	42.496454360428174	57.88229391434848	146.69320201177013	42.496454360428174	42.496454360428174	27.48183124469701	126.52331952142758	34.69983987395752	146.69320201177013	57.88229391434848	57.88229391434848	146.69320201177013	146.69320201177013	146.69320201177013	42.496454360428174	27.48183124469701	27.48183124469701	57.88229391434848	42.496454360428174	65.868369375555	65.868369375555	65.868369375555	57.88229391434848	27.48183124469701	146.69320201177013	146.69320201177013	80.99719013784184	126.52331952142758	146.69320201177013	27.48183124469701	80.99719013784184	146.69320201177013	146.69320201177013	27.48183124469701	57.88229391434848	80.99719013784184	146.69320201177013	146.69320201177013	80.99719013784184	126.52331952142758	42.496454360428174	42.496454360428174	42.496454360428174	42.496454360428174	42.496454360428174	80.99719013784184	146.69320201177013	146.69320201177013	146.69320201177013	42.496454360428174	146.69320201177013	146.69320201177013	42.496454360428174	42.496454360428174	80.99719013784184	34.69983987395752	146.69320201177013	146.69320201177013	42.496454360428174	126.52331952142758	27.48183124469701
dn006	65.868369375555	65.868369375555	65.868369375555	27.48183124469701	13.62997173800846	16.77279756592831	0.0	146.69320201177013	146.69320201177013	80.99719013784184	126.52331952142758	126.52331952142758	126.52331952142758	126.52331952142758	42.496454360428174	126.52331952142758	42.496454360428174	126.52331952142758	126.52331952142758	42.496454360428174	126.52331952142758	126.52331952142758	42.496454360428174	126.52331952142758	126.52331952142758	126.52331952142758	126.52331952142758	126.52331952142758	126.52331952142758	126.52331952142758	126.52331952142758	126.52331952142758	126.52331952142758	126.52331952142758	126.52331952142758	126.52331952142758	126.52331952142758	42.496454360428174	126.52331952142758	126.52331952142758	126.52331952142758	126.52331952142758	126.52331952142758	126.52331952142758	126.52331952142758	126.52331952142758	126.52331952142758	126.52331952142758	126.52331952142758	126.52331952142758	126.52331952142758	126.52331952142758	126.52331952142758	126.52331952142758	126.52331952142758	126.52331952142758	126.52331952142758	126.52331952142758	126.52331952142758	146.69320201177013	27.48183124469701	27.48183124469701	146.69320201177013	27.48183124469701	146.69320201177013	146.69320201177013	146.69320201177013	146.69320201177013	27.48183124469701	146.69320201177013	146.69320201177013	80.99719013784184	146.69320201177013	146.69320201177013	146.69320201177013	146.69320201177013	80.99719013784184	146.69320201177013	146.69320201177013	80.99719013784184	80.99719013784184	80.99719013784184	80.99719013784184	65.86836937555502	65.86836937555502	80.99719013784184	80.99719013784184	80.99719013784184	146.69320201177013	27.48183124469701	42.496454360428174	146.69320201177013	146.69320201177013	146.69320201177013	146.69320201177013	80.99719013784184	80.99719013784184	42.496454360428174	57.88229391434848	146.69320201177013	42.496454360428174	42.496454360428174	27.48183124469701	126.52331952142758	34.69983987395752	146.69320201177013	57.88229391434848	57.88229391434848	146.69320201177013	146.69320201177013	146.69320201177013	42.496454360428174	27.48183124469701	27.48183124469701	57.88229391434848	42.496454360428174	65.868369375555	65.868369375555	65.868369375555	57.88229391434848	27.48183124469701	146.69320201177013	146.69320201177013	80.99719013784184	126.52331952142758	146.69320201177013	27.48183124469701	80.99719013784184	146.69320201177013	146.69320201177013	27.48183124469701	57.88229391434848	80.99719013784184	146.69320201177013	146.69320201177013	80.99719013784184	126.52331952142758	42.496454360428174	42.496454360428174	42.496454360428174	42.496454360428174	42.496454360428174	80.99719013784184	146.69320201177013	146.69320201177013	146.69320201177013	42.496454360428174	146.69320201177013	146.69320201177013	42.496454360428174	42.496454360428174	80.99719013784184	34.69983987395752	146.69320201177013	146.69320201177013	42.496454360428174	126.52331952142758	27.48183124469701
dn007	146.6932020117701	146.6932020117701	146.6932020117701	146.69320201177013	146.69320201177013	146.69320201177013	146.69320201177013	0.0	53.62648718093329	146.69320201177015	146.69320201177013	146.69320201177013	146.69320201177013	146.69320201177013	146.69320201177013	146.69320201177013	146.69320201177013	146.69320201177013	146.69320201177013	146.69320201177013	146.69320201177013	146.69320201177013	146.69320201177013	146.69320201177013	146.69320201177013	146.69320201177013	146.69320201177013	146.69320201177013	146.69320201177013	146.69320201177013	146.69320201177013	146.69320201177013	146.69320201177013	146.69320201177013	146.69320201177013	146.69320201177013	146.69320201177013	146.69320201177013	146.69320201177013	146.69320201177013	146.69320201177013	146.69320201177013	146.69320201177013	146.69320201177013	146.69320201177013	146.69320201177013	146.69320201177013	146.69320201177013	146.69320201177013	146.69320201177013	146.69320201177013	146.69320201177013	146.69320201177013	146.69320201177013	146.69320201177013	146.69320201177013	146.69320201177013	146.69320201177013	146.69320201177013	53.62648718093329	146.69320201177013	146.69320201177013	53.62648718093329	146.69320201177013	53.62648718093329	53.62648718093329	53.62648718093329	53.62648718093329	146.69320201177013	53.62648718093329	50.89754447476422	146.69320201177015	53.62648718093329	104.31570301323022	104.31570301323022	104.31570301323022	146.69320201177015	53.62648718093329	50.89754447476422	146.69320201177015	146.69320201177015	146.69320201177015	146.69320201177015	146.69320201177013	146.69320201177013	146.69320201177015	146.69320201177015	146.69320201177015	53.62648718093329	146.69320201177013	146.69320201177013	53.62648718093329	27.852440748068574	53.62648718093329	50.89754447476422	146.69320201177015	146.69320201177015	146.69320201177013	146.69320201177013	50.89754447476422	146.69320201177013	146.69320201177013	146.69320201177013	146.69320201177013	146.69320201177013	104.31570301323022	146.69320201177013	146.69320201177013	53.62648718093329	53.62648718093329	104.31570301323022	146.69320201177013	146.69320201177013	146.69320201177013	146.69320201177013	146.69320201177013	146.6932020117701	146.6932020117701	146.6932020117701	146.69320201177013	146.69320201177013	53.62648718093329	50.89754447476422	146.69320201177015	146.69320201177013	53.62648718093329	146.69320201177013	146.69320201177015	53.62648718093329	53.62648718093329	146.69320201177013	146.69320201177013	146.69320201177015	53.62648718093329	53.62648718093329	146.69320201177015	146.69320201177013	146.69320201177013	146.69320201177013	146.69320201177013	146.69320201177013	146.69320201177013	146.69320201177015	104.31570301323022	104.31570301323022	104.31570301323022	146.69320201177013	50.89754447476422	50.89754447476422	146.69320201177013	146.69320201177013	146.69320201177015	146.69320201177013	53.62648718093329	53.62648718093329	146.69320201177013	146.69320201177013	146.69320201177013
dn008	146.6932020117701	146.6932020117701	146.6932020117701	146.69320201177013	146.69320201177013	146.69320201177013	146.69320201177013	53.62648718093329	0.0	146.69320201177015	146.69320201177013	146.69320201177013	146.69320201177013	146.69320201177013	146.69320201177013	146.69320201177013	146.69320201177013	146.69320201177013	146.69320201177013	146.69320201177013	146.69320201177013	146.69320201177013	146.69320201177013	146.69320201177013	146.69320201177013	146.69320201177013	146.69320201177013	146.69320201177013	146.69320201177013	146.69320201177013	146.69320201177013	146.69320201177013	146.69320201177013	146.69320201177013	146.69320201177013	146.69320201177013	146.69320201177013	146.69320201177013	146.69320201177013	146.69320201177013	146.69320201177013	146.69320201177013	146.69320201177013	146.69320201177013	146.69320201177013	146.69320201177013	146.69320201177013	146.69320201177013	146.69320201177013	146.69320201177013	146.69320201177013	146.69320201177013	146.69320201177013	146.69320201177013	146.69320201177013	146.69320201177013	146.69320201177013	146.69320201177013	146.69320201177013	35.34103966390897	146.69320201177013	146.69320201177013	40.66710023362337	146.69320201177013	40.66710023362337	40.66710023362337	35.34103966390897	35.34103966390897	146.69320201177013	35.34103966390897	53.62648718093329	146.69320201177015	14.375978828485385	104.31570301323022	104.31570301323022	104.31570301323022	146.69320201177015	27.415508610298634	53.62648718093329	146.69320201177015	146.69320201177015	146.69320201177015	146.69320201177015	146.69320201177013	146.69320201177013	146.69320201177015	146.69320201177015	146.69320201177015	35.34103966390897	146.69320201177013	146.69320201177013	40.66710023362337	53.62648718093329	40.66710023362337	53.62648718093329	146.69320201177015	146.69320201177015	146.69320201177013	146.69320201177013	53.62648718093329	146.69320201177013	146.69320201177013	146.69320201177013	146.69320201177013	146.69320201177013	104.31570301323022	146.69320201177013	146.69320201177013	32.56140749673431	32.56140749673431	104.31570301323022	146.69320201177013	146.69320201177013	146.69320201177013	146.69320201177013	146.69320201177013	146.6932020117701	146.6932020117701	146.6932020117701	146.69320201177013	146.69320201177013	40.66710023362337	53.62648718093329	146.69320201177015	146.69320201177013	40.66710023362337	146.69320201177013	146.69320201177015	32.56140749673431	21.66921838382374	146.69320201177013	146.69320201177013	146.69320201177015	40.66710023362337	20.15556880476066	146.69320201177015	146.69320201177013	146.69320201177013	146.69320201177013	146.69320201177013	146.69320201177013	146.69320201177013	146.69320201177015	104.31570301323022	104.31570301323022	104.31570301323022	146.69320201177013	53.62648718093329	53.62648718093329	146.69320201177013	146.69320201177013	146.69320201177015	146.69320201177013	40.66710023362337	40.66710023362337	146.69320201177013	146.69320201177013	146.69320201177013
dn009	80.99719013784183	80.99719013784183	80.99719013784183	80.99719013784184	80.99719013784184	80.99719013784184	80.99719013784184	146.69320201177015	146.69320201177015	0.0	126.5233195214276	126.5233195214276	126.5233195214276	126.5233195214276	80.99719013784184	126.5233195214276	80.99719013784184	126.5233195214276	126.5233195214276	80.99719013784184	126.5233195214276	126.5233195214276	80.99719013784184	126.5233195214276	126.5233195214276	126.5233195214276	126.5233195214276	126.5233195214276	126.5233195214276	126.5233195214276	126.5233195214276	126.5233195214276	126.5233195214276	126.5233195214276	126.5233195214276	126.5233195214276	126.5233195214276	80.99719013784184	126.5233195214276	126.5233195214276	126.5233195214276	126.5233195214276	126.5233195214276	126.5233195214276	126.5233195214276	126.5233195214276	126.5233195214276	126.5233195214276	126.5233195214276	126.5233195214276	126.5233195214276	126.5233195214276	126.5233195214276	126.5233195214276	126.5233195214276	126.5233195214276	126.5233195214276	126.5233195214276	126.5233195214276	146.69320201177015	80.99719013784184	80.99719013784184	146.69320201177015	80.99719013784184	146.69320201177015	146.69320201177015	146.69320201177015	146.69320201177015	80.99719013784184	146.69320201177015	146.69320201177015	60.02208129378506	146.69320201177015	146.69320201177015	146.69320201177015	146.69320201177015	60.02208129378506	146.69320201177015	146.69320201177015	60.02208129378506	60.02208129378506	60.02208129378506	39.43904982447872	80.99719013784184	80.99719013784184	60.02208129378506	60.02208129378506	60.02208129378506	146.69320201177015	80.99719013784184	80.99719013784184	146.69320201177015	146.69320201177015	146.69320201177015	146.69320201177015	39.43904982447872	39.43904982447872	80.99719013784184	80.99719013784184	146.69320201177015	80.99719013784184	80.99719013784184	80.99719013784184	126.5233195214276	80.99719013784184	146.69320201177015	80.99719013784184	80.99719013784184	146.69320201177015	146.69320201177015	146.69320201177015	80.99719013784184	80.99719013784184	80.99719013784184	80.99719013784184	80.99719013784184	80.99719013784183	80.99719013784183	80.99719013784183	80.99719013784184	80.99719013784184	146.69320201177015	146.69320201177015	24.438657164122105	126.5233195214276	146.69320201177015	80.99719013784184	25.850565111309642	146.69320201177015	146.69320201177015	80.99719013784184	80.99719013784184	25.850565111309642	146.69320201177015	146.69320201177015	21.855783043778807	126.5233195214276	80.99719013784184	80.99719013784184	80.99719013784184	80.99719013784184	80.99719013784184	60.02208129378506	146.69320201177015	146.69320201177015	146.69320201177015	80.99719013784184	146.69320201177015	146.69320201177015	80.99719013784184	80.99719013784184	25.850565111309642	80.99719013784184	146.69320201177015	146.69320201177015	80.99719013784184	126.5233195214276	80.99719013784184
