	dn000	dn001	dn002	dn003	dn004	dn005	dn006	dn007	dn008	dn009	dn010	dn011	dn012	dn013	dn014	dn015	dn016	dn017	dn018	dn019	dn020	dn021	dn022	dn023	dn024	dn025	dn026	dn027	dn028	dn029	dn030	dn031	dn032	dn033	dn034	dn035	dn036	dn037	dn038	dn039	dn040	dn041	dn042	dn043	dn044	dn045	dn046	dn047	dn048	dn049	dn050	dn051	dn052	dn053	dn054	dn055	dn056	dn057	dn058	dn059	dn060	dn061	dn062	dn063	dn064	dn065	dn066	dn067	dn068	dn069	dn070	dn071	dn072	dn073	dn074	dn075	dn076	dn077	dn078	dn079	dn080	dn081	dn082	dn083	dn084	dn085	dn086	dn087	dn088	dn089	dn090	dn091	dn092	dn093	dn094	dn095	dn096	dn097	dn098	dn099	dn100	dn101	dn102	dn103	dn104	dn105	dn106	dn107	dn108	dn109	dn110	dn111	dn112	dn113	dn114	dn115	dn116	dn117	dn118	dn119	dn120	dn121	dn122	dn123	dn124	dn125	dn126	dn127	dn128	dn129	dn130	dn131	dn132	dn133	dn134	dn135	dn136	dn137	dn138	dn139	dn140	dn141	dn142	dn143	dn144	dn145	dn146	dn147	dn148	dn149	dn150	dn151	dn152	dn153	dn154	dn155	dn156	dn157
dn000	0.0	0.00397	0.00397	0.25682	0.19362999999999997	0.19362999999999997	0.19362999999999997	0.22022999999999998	0.24190999999999996	0.21657	0.25626	0.25626	0.25046	0.25046	0.27563	0.27427999999999997	0.27427999999999997	0.27427999999999997	0.27427999999999997	0.27427999999999997	0.25600999999999996	0.26448666666666665	0.2626	0.26371999999999995	0.26371999999999995	0.26371999999999995	0.26371999999999995	0.26371999999999995	0.24848499999999998	0.2625825	0.2625825	0.28025	0.26228999999999997	0.2625825	0.26448666666666665	0.26371999999999995	0.2625825	0.2862	0.25623999999999997	0.27427999999999997	0.25623999999999997	0.259385	0.259385	0.26448666666666665	0.26448666666666665	0.26448666666666665	0.26448666666666665	0.26448666666666665	0.26448666666666665	0.26448666666666665	0.26448666666666665	0.26448666666666665	0.26448666666666665	0.2625825	0.2625825	0.25623999999999997	0.27460999999999997	0.27460999999999997	0.2625825	0.28345	0.28169	0.28317	0.28317	0.2819	0.28242	0.2819	0.28317	0.28317	0.28317	0.2819	0.20284	0.205515	0.27294	0.24827	0.24827	0.24114	0.20081	0.19518999999999997	0.17607	0.194085	0.194085	0.194085	0.2071	0.2071	0.2071	0.194085	0.194085	0.194085	0.19247999999999998	0.1804	0.24201	0.2059933333333333	0.19030999999999998	0.20434	0.2014	0.20088999999999999	0.20088999999999999	0.29374999999999996	0.20903	0.19679	0.26617999999999997	0.26617999999999997	0.21055	0.19651	0.27135	0.24564	0.208735	0.208735	0.208735	0.208735	0.24583	0.19890999999999998	0.21276	0.21655	0.20564	0.20387	0.24425999999999998	0.24795250000000002	0.240045	0.21406	0.25797	0.23961	0.19247999999999998	0.19002000000000002	0.19723	0.19385	0.22067	0.223495	0.23744	0.23744	0.21861333333333333	0.21861333333333333	0.222745	0.22025	0.21348999999999999	0.148975	0.2862	0.27729	0.28066	0.28099999999999997	0.28099999999999997	0.2862	0.223135	0.25732999999999995	0.26319000000000004	0.26458	0.22319999999999998	0.19385	0.19385	0.19486499999999998	0.202355	0.28079	0.22023	0.22554000000000002	0.25637	0.20564	0.26981999999999995	0.17543999999999998
dn001	0.00397	0.0	0.0	0.25511	0.19191999999999998	0.19191999999999998	0.19191999999999998	0.21852	0.24020000000000002	0.21486000000000002	0.25455	0.25455	0.24875000000000003	0.24875000000000003	0.27392	0.27257	0.27257	0.27257	0.27257	0.27257	0.2543	0.26277666666666666	0.26089	0.26201	0.26201	0.26201	0.26201	0.26201	0.24677500000000002	0.2608725	0.2608725	0.27854	0.26058	0.2608725	0.26277666666666666	0.26201	0.2608725	0.28449	0.25453	0.27257	0.25453	0.257675	0.257675	0.26277666666666666	0.26277666666666666	0.26277666666666666	0.26277666666666666	0.26277666666666666	0.26277666666666666	0.26277666666666666	0.26277666666666666	0.26277666666666666	0.26277666666666666	0.2608725	0.2608725	0.25453	0.2729	0.2729	0.2608725	0.28174	0.27998	0.28146000000000004	0.28146000000000004	0.28019000000000005	0.28071	0.28019000000000005	0.28146000000000004	0.28146000000000004	0.28146000000000004	0.28019000000000005	0.20113	0.20380500000000001	0.27123	0.24656000000000003	0.24656000000000003	0.23943000000000003	0.1991	0.19347999999999999	0.17436000000000001	0.19237500000000002	0.19237500000000002	0.19237500000000002	0.20539000000000002	0.20539000000000002	0.20539000000000002	0.19237500000000002	0.19237500000000002	0.19237500000000002	0.19077	0.17869000000000002	0.2403	0.20428333333333332	0.1886	0.20263	0.19969	0.19918	0.19918	0.29204	0.20732	0.19508	0.26447000000000004	0.26447000000000004	0.20884	0.1948	0.26964	0.24393000000000004	0.20702500000000001	0.20702500000000001	0.20702500000000001	0.20702500000000001	0.24412000000000003	0.1972	0.21105000000000002	0.21484	0.20393	0.20216	0.24255	0.24624250000000003	0.23833500000000002	0.21235	0.25626	0.2379	0.19077	0.18831000000000003	0.19552	0.19214	0.21896000000000002	0.221785	0.23573000000000002	0.23573000000000002	0.21690333333333334	0.21690333333333334	0.221035	0.21854	0.21178	0.147265	0.28449	0.27558	0.27895000000000003	0.27929	0.27929	0.28449	0.221425	0.25562	0.26148000000000005	0.26287000000000005	0.22149	0.19214	0.19214	0.193155	0.20064500000000002	0.27908	0.21852000000000002	0.22383000000000003	0.25466	0.20393	0.26811	0.17373
dn002	0.00397	0.0	0.0	0.25511	0.19191999999999998	0.19191999999999998	0.19191999999999998	0.21852	0.24020000000000002	0.21486000000000002	0.25455	0.25455	0.24875000000000003	0.24875000000000003	0.27392	0.27257	0.27257	0.27257	0.27257	0.27257	0.2543	0.26277666666666666	0.26089	0.26201	0.26201	0.26201	0.26201	0.26201	0.24677500000000002	0.2608725	0.2608725	0.27854	0.26058	0.2608725	0.26277666666666666	0.26201	0.2608725	0.28449	0.25453	0.27257	0.25453	0.257675	0.257675	0.26277666666666666	0.26277666666666666	0.26277666666666666	0.26277666666666666	0.26277666666666666	0.26277666666666666	0.26277666666666666	0.26277666666666666	0.26277666666666666	0.26277666666666666	0.2608725	0.2608725	0.25453	0.2729	0.2729	0.2608725	0.28174	0.27998	0.28146000000000004	0.28146000000000004	0.28019000000000005	0.28071	0.28019000000000005	0.28146000000000004	0.28146000000000004	0.28146000000000004	0.28019000000000005	0.20113	0.20380500000000001	0.27123	0.24656000000000003	0.24656000000000003	0.23943000000000003	0.1991	0.19347999999999999	0.17436000000000001	0.19237500000000002	0.19237500000000002	0.19237500000000002	0.20539000000000002	0.20539000000000002	0.20539000000000002	0.19237500000000002	0.19237500000000002	0.19237500000000002	0.19077	0.17869000000000002	0.2403	0.20428333333333332	0.1886	0.20263	0.19969	0.19918	0.19918	0.29204	0.20732	0.19508	0.26447000000000004	0.26447000000000004	0.20884	0.1948	0.26964	0.24393000000000004	0.20702500000000001	0.20702500000000001	0.20702500000000001	0.20702500000000001	0.24412000000000003	0.1972	0.21105000000000002	0.21484	0.20393	0.20216	0.24255	0.24624250000000003	0.23833500000000002	0.21235	0.25626	0.2379	0.19077	0.18831000000000003	0.19552	0.19214	0.21896000000000002	0.221785	0.23573000000000002	0.23573000000000002	0.21690333333333334	0.21690333333333334	0.221035	0.21854	0.21178	0.147265	0.28449	0.27558	0.27895000000000003	0.27929	0.27929	0.28449	0.221425	0.25562	0.26148000000000005	0.26287000000000005	0.22149	0.19214	0.19214	0.193155	0.20064500000000002	0.27908	0.21852000000000002	0.22383000000000003	0.25466	0.20393	0.26811	0.17373
dn003	0.25682	0.25511	0.25511	0.0	0.21946999999999997	0.21946999999999997	0.21946999999999997	0.24606999999999998	0.25687	0.22927	0.27122	0.27122	0.26542	0.26542	0.29059	0.28923999999999994	0.28923999999999994	0.28923999999999994	0.28923999999999994	0.28923999999999994	0.27097	0.2794466666666666	0.27756000000000003	0.27868	0.27868	0.27868	0.27868	0.27868	0.263445	0.2775425	0.2775425	0.29521	0.27725	0.2775425	0.2794466666666666	0.27868	0.2775425	0.30116	0.2712	0.28923999999999994	0.2712	0.27434499999999995	0.27434499999999995	0.2794466666666666	0.2794466666666666	0.2794466666666666	0.2794466666666666	0.2794466666666666	0.2794466666666666	0.2794466666666666	0.2794466666666666	0.2794466666666666	0.2794466666666666	0.2775425	0.2775425	0.2712	0.28957	0.28957	0.2775425	0.29840999999999995	0.29664999999999997	0.29813	0.29813	0.29686	0.29738	0.29686	0.29813	0.29813	0.29813	0.29686	0.22868	0.23135499999999998	0.28564	0.26322999999999996	0.26322999999999996	0.2561	0.22664999999999996	0.22102999999999998	0.20190999999999998	0.21992499999999998	0.21992499999999998	0.21992499999999998	0.23293999999999998	0.23293999999999998	0.23293999999999998	0.21992499999999998	0.21992499999999998	0.21992499999999998	0.21831999999999996	0.20623999999999998	0.26785	0.2318333333333333	0.21614999999999998	0.23018	0.22724	0.22673	0.22673	0.30871	0.23486999999999997	0.22263	0.28114	0.28114	0.23639	0.22235	0.28630999999999995	0.2606	0.221435	0.221435	0.221435	0.221435	0.26078999999999997	0.22474999999999998	0.23859999999999998	0.24239	0.23147999999999996	0.21656999999999998	0.27503999999999995	0.2787325	0.270825	0.22676	0.27066999999999997	0.25231	0.21831999999999996	0.20272	0.22307	0.21969	0.23337	0.236195	0.25014000000000003	0.25014000000000003	0.23131333333333332	0.23131333333333332	0.235445	0.23295	0.23933	0.21791499999999997	0.30116	0.29225	0.29562	0.29596	0.29596	0.30116	0.235835	0.27229	0.27815	0.27954	0.24903999999999998	0.21969	0.21969	0.22070499999999998	0.22819499999999998	0.29574999999999996	0.23293	0.23824	0.28220999999999996	0.23147999999999996	0.28478	0.24438
dn004	0.19362999999999997	0.19191999999999998	0.19191999999999998	0.21946999999999997	0.0	0.0	0.0	0.15056	0.20455999999999996	0.17922	0.21891	0.21891	0.21311	0.21311	0.23828	0.23692999999999997	0.23692999999999997	0.23692999999999997	0.23692999999999997	0.23692999999999997	0.21866	0.22713666666666665	0.22525	0.22637	0.22637	0.22637	0.22637	0.22637	0.211135	0.2252325	0.2252325	0.2429	0.22493999999999997	0.2252325	0.22713666666666665	0.22637	0.2252325	0.24885000000000002	0.21888999999999997	0.23692999999999997	0.21888999999999997	0.22203499999999998	0.22203499999999998	0.22713666666666665	0.22713666666666665	0.22713666666666665	0.22713666666666665	0.22713666666666665	0.22713666666666665	0.22713666666666665	0.22713666666666665	0.22713666666666665	0.22713666666666665	0.2252325	0.2252325	0.21888999999999997	0.23725999999999997	0.23725999999999997	0.2252325	0.24609999999999999	0.24433999999999997	0.24581999999999998	0.24581999999999998	0.24455	0.24506999999999998	0.24455	0.24581999999999998	0.24581999999999998	0.24581999999999998	0.24455	0.10752999999999999	0.110205	0.23559	0.21092	0.21092	0.20379	0.1055	0.09988	0.08076	0.098775	0.098775	0.098775	0.15177	0.15177	0.15177	0.098775	0.098775	0.098775	0.09716999999999999	0.08509	0.17234	0.15066333333333332	0.095	0.10902999999999999	0.14606999999999998	0.10558	0.10558	0.25639999999999996	0.11372	0.10147999999999999	0.22883	0.22883	0.11524	0.10119999999999998	0.23399999999999999	0.20829	0.171385	0.171385	0.171385	0.171385	0.20848	0.08449999999999999	0.11745	0.14688	0.11032999999999998	0.16652	0.21184999999999998	0.2155425	0.207635	0.17670999999999998	0.22061999999999998	0.20226	0.09716999999999999	0.15267	0.10191999999999998	0.09853999999999999	0.18331999999999998	0.186145	0.20009	0.20009	0.18126333333333333	0.18126333333333333	0.18539499999999998	0.1829	0.11818	0.154725	0.24885000000000002	0.23994	0.24331	0.24364999999999998	0.24364999999999998	0.24885000000000002	0.18578499999999998	0.21997999999999998	0.22584	0.22723	0.15353	0.09853999999999999	0.09853999999999999	0.09955499999999999	0.107045	0.24344	0.18288	0.18819000000000002	0.18669999999999998	0.11032999999999998	0.23246999999999998	0.18119
dn005	0.19362999999999997	0.19191999999999998	0.19191999999999998	0.21946999999999997	0.0	0.0	0.0	0.15056	0.20455999999999996	0.17922	0.21891	0.21891	0.21311	0.21311	0.23828	0.23692999999999997	0.23692999999999997	0.23692999999999997	0.23692999999999997	0.23692999999999997	0.21866	0.22713666666666665	0.22525	0.22637	0.22637	0.22637	0.22637	0.22637	0.211135	0.2252325	0.2252325	0.2429	0.22493999999999997	0.2252325	0.22713666666666665	0.22637	0.2252325	0.24885000000000002	0.21888999999999997	0.23692999999999997	0.21888999999999997	0.22203499999999998	0.22203499999999998	0.22713666666666665	0.22713666666666665	0.22713666666666665	0.22713666666666665	0.22713666666666665	0.22713666666666665	0.22713666666666665	0.22713666666666665	0.22713666666666665	0.22713666666666665	0.2252325	0.2252325	0.21888999999999997	0.23725999999999997	0.23725999999999997	0.2252325	0.24609999999999999	0.24433999999999997	0.24581999999999998	0.24581999999999998	0.24455	0.24506999999999998	0.24455	0.24581999999999998	0.24581999999999998	0.24581999999999998	0.24455	0.10752999999999999	0.110205	0.23559	0.21092	0.21092	0.20379	0.1055	0.09988	0.08076	0.098775	0.098775	0.098775	0.15177	0.15177	0.15177	0.098775	0.098775	0.098775	0.09716999999999999	0.08509	0.17234	0.15066333333333332	0.095	0.10902999999999999	0.14606999999999998	0.10558	0.10558	0.25639999999999996	0.11372	0.10147999999999999	0.22883	0.22883	0.11524	0.10119999999999998	0.23399999999999999	0.20829	0.171385	0.171385	0.171385	0.171385	0.20848	0.08449999999999999	0.11745	0.14688	0.11032999999999998	0.16652	0.21184999999999998	0.2155425	0.207635	0.17670999999999998	0.22061999999999998	0.20226	0.09716999999999999	0.15267	0.10191999999999998	0.09853999999999999	0.18331999999999998	0.186145	0.20009	0.20009	0.18126333333333333	0.18126333333333333	0.18539499999999998	0.1829	0.11818	0.154725	0.24885000000000002	0.23994	0.24331	0.24364999999999998	0.24364999999999998	0.24885000000000002	0.18578499999999998	0.21997999999999998	0.22584	0.22723	0.15353	0.09853999999999999	0.09853999999999999	0.09955499999999999	0.107045	0.24344	0.18288	0.18819000000000002	0.18669999999999998	0.11032999999999998	0.23246999999999998	0.18119
dn006	0.19362999999999997	0.19191999999999998	0.19191999999999998	0.21946999999999997	0.0	0.0	0.0	0.15056	0.20455999999999996	0.17922	0.21891	0.21891	0.21311	0.21311	0.23828	0.23692999999999997	0.23692999999999997	0.23692999999999997	0.23692999999999997	0.23692999999999997	0.21866	0.22713666666666665	0.22525	0.22637	0.22637	0.22637	0.22637	0.22637	0.211135	0.2252325	0.2252325	0.2429	0.22493999999999997	0.2252325	0.22713666666666665	0.22637	0.2252325	0.24885000000000002	0.21888999999999997	0.23692999999999997	0.21888999999999997	0.22203499999999998	0.22203499999999998	0.22713666666666665	0.22713666666666665	0.22713666666666665	0.22713666666666665	0.22713666666666665	0.22713666666666665	0.22713666666666665	0.22713666666666665	0.22713666666666665	0.22713666666666665	0.2252325	0.2252325	0.21888999999999997	0.23725999999999997	0.23725999999999997	0.2252325	0.24609999999999999	0.24433999999999997	0.24581999999999998	0.24581999999999998	0.24455	0.24506999999999998	0.24455	0.24581999999999998	0.24581999999999998	0.24581999999999998	0.24455	0.10752999999999999	0.110205	0.23559	0.21092	0.21092	0.20379	0.1055	0.09988	0.08076	0.098775	0.098775	0.098775	0.15177	0.15177	0.15177	0.098775	0.098775	0.098775	0.09716999999999999	0.08509	0.17234	0.15066333333333332	0.095	0.10902999999999999	0.14606999999999998	0.10558	0.10558	0.25639999999999996	0.11372	0.10147999999999999	0.22883	0.22883	0.11524	0.10119999999999998	0.23399999999999999	0.20829	0.171385	0.171385	0.171385	0.171385	0.20848	0.08449999999999999	0.11745	0.14688	0.11032999999999998	0.16652	0.21184999999999998	0.2155425	0.207635	0.17670999999999998	0.22061999999999998	0.20226	0.09716999999999999	0.15267	0.10191999999999998	0.09853999999999999	0.18331999999999998	0.186145	0.20009	0.20009	0.18126333333333333	0.18126333333333333	0.18539499999999998	0.1829	0.11818	0.154725	0.24885000000000002	0.23994	0.24331	0.24364999999999998	0.24364999999999998	0.24885000000000002	0.18578499999999998	0.21997999999999998	0.22584	0.22723	0.15353	0.09853999999999999	0.09853999999999999	0.09955499999999999	0.107045	0.24344	0.18288	0.18819000000000002	0.18669999999999998	0.11032999999999998	0.23246999999999998	0.18119
dn007	0.22022999999999998	0.21852	0.21852	0.24606999999999998	0.15056	0.15056	0.15056	0.0	0.23115999999999998	0.20582	0.24551	0.24551	0.23971	0.23971	0.26488	0.26353	0.26353	0.26353	0.26353	0.26353	0.24526	0.25373666666666667	0.25185	0.25297000000000003	0.25297000000000003	0.25297000000000003	0.25297000000000003	0.25297000000000003	0.237735	0.2518325	0.2518325	0.2695	0.25154	0.2518325	0.25373666666666667	0.25297000000000003	0.2518325	0.27545000000000003	0.24548999999999999	0.26353	0.24548999999999999	0.248635	0.248635	0.25373666666666667	0.25373666666666667	0.25373666666666667	0.25373666666666667	0.25373666666666667	0.25373666666666667	0.25373666666666667	0.25373666666666667	0.25373666666666667	0.25373666666666667	0.2518325	0.2518325	0.24548999999999999	0.26386	0.26386	0.2518325	0.2727	0.27093999999999996	0.27242	0.27242	0.27115	0.27166999999999997	0.27115	0.27242	0.27242	0.27242	0.27115	0.15977000000000002	0.162445	0.26219000000000003	0.23752	0.23752	0.23039	0.15774	0.15212	0.133	0.151015	0.151015	0.151015	0.17837	0.17837	0.17837	0.151015	0.151015	0.151015	0.14941	0.13733	0.14832	0.17726333333333333	0.14724	0.16127000000000002	0.17267	0.15782000000000002	0.15782000000000002	0.28300000000000003	0.16596	0.15372000000000002	0.25543000000000005	0.25543000000000005	0.16748000000000002	0.15344000000000002	0.2606	0.23489000000000002	0.19798500000000002	0.19798500000000002	0.19798500000000002	0.19798500000000002	0.23508	0.15584	0.16969	0.10714	0.16257	0.19312	0.23845	0.2421425	0.234235	0.20331	0.24722	0.22886	0.14941	0.17927	0.15416000000000002	0.15078	0.20992	0.21274500000000002	0.22669	0.22669	0.20786333333333334	0.20786333333333334	0.211995	0.20950000000000002	0.17042000000000002	0.18132500000000001	0.27545000000000003	0.26654	0.26991	0.27025	0.27025	0.27545000000000003	0.212385	0.24658	0.25244	0.25383	0.12951000000000001	0.15078	0.15078	0.151795	0.159285	0.27004	0.20948	0.21479000000000004	0.16268	0.16257	0.25907	0.20779
dn008	0.24190999999999996	0.24020000000000002	0.24020000000000002	0.25687	0.20455999999999996	0.20455999999999996	0.20455999999999996	0.23115999999999998	0.0	0.21662	0.24530999999999997	0.24530999999999997	0.23951	0.23951	0.26467999999999997	0.26332999999999995	0.26332999999999995	0.26332999999999995	0.26332999999999995	0.26332999999999995	0.24506	0.25353666666666663	0.25165	0.25277	0.25277	0.25277	0.25277	0.25277	0.237535	0.2516325	0.2516325	0.2693	0.25133999999999995	0.2516325	0.25353666666666663	0.25277	0.2516325	0.27525	0.24528999999999995	0.26332999999999995	0.24528999999999995	0.24843499999999996	0.24843499999999996	0.25353666666666663	0.25353666666666663	0.25353666666666663	0.25353666666666663	0.25353666666666663	0.25353666666666663	0.25353666666666663	0.25353666666666663	0.25353666666666663	0.25353666666666663	0.2516325	0.2516325	0.24528999999999995	0.26365999999999995	0.26365999999999995	0.2516325	0.21883999999999998	0.21708	0.21855999999999998	0.21855999999999998	0.21728999999999998	0.21781	0.21728999999999998	0.21855999999999998	0.21855999999999998	0.21855999999999998	0.21728999999999998	0.21377	0.216445	0.27299	0.21983999999999998	0.21983999999999998	0.21271	0.21173999999999998	0.20611999999999997	0.187	0.205015	0.205015	0.205015	0.21803	0.21803	0.21803	0.205015	0.205015	0.205015	0.20340999999999998	0.19133	0.25294	0.2169233333333333	0.20123999999999997	0.21527	0.21233	0.21181999999999998	0.21181999999999998	0.17872	0.21996	0.20772	0.23775000000000002	0.23775000000000002	0.22147999999999998	0.20743999999999999	0.15632000000000001	0.21721000000000001	0.208785	0.208785	0.208785	0.208785	0.21739999999999998	0.20983999999999997	0.22369	0.22748	0.21656999999999998	0.20392	0.26013	0.2638225	0.255915	0.21411	0.25801999999999997	0.23965999999999998	0.20340999999999998	0.19007000000000002	0.20815999999999998	0.20478	0.22072	0.223545	0.23749000000000003	0.23749000000000003	0.21866333333333332	0.21866333333333332	0.222795	0.2203	0.22441999999999998	0.203005	0.27525	0.26633999999999997	0.26971	0.27004999999999996	0.27004999999999996	0.27525	0.223185	0.2289	0.23476000000000002	0.23614999999999997	0.23412999999999998	0.20478	0.20478	0.20579499999999998	0.213285	0.16576	0.22028	0.22559	0.2673	0.21656999999999998	0.20521	0.22947
dn009	0.21657	0.21486000000000002	0.21486000000000002	0.22927	0.17922	0.17922	0.17922	0.20582	0.21662	0.0	0.23097	0.23097	0.22517000000000004	0.22517000000000004	0.25034	0.24899	0.24899	0.24899	0.24899	0.24899	0.23072000000000004	0.23919666666666667	0.23731000000000002	0.23843000000000003	0.23843000000000003	0.23843000000000003	0.23843000000000003	0.23843000000000003	0.22319500000000003	0.23729250000000002	0.23729250000000002	0.25496	0.237	0.23729250000000002	0.23919666666666667	0.23843000000000003	0.23729250000000002	0.26091000000000003	0.23095	0.24899	0.23095	0.234095	0.234095	0.23919666666666667	0.23919666666666667	0.23919666666666667	0.23919666666666667	0.23919666666666667	0.23919666666666667	0.23919666666666667	0.23919666666666667	0.23919666666666667	0.23919666666666667	0.23729250000000002	0.23729250000000002	0.23095	0.24931999999999999	0.24931999999999999	0.23729250000000002	0.25816	0.2564	0.25788	0.25788	0.25661	0.25713	0.25661	0.25788	0.25788	0.25788	0.25661	0.18843000000000001	0.19110500000000002	0.20641	0.22298	0.22298	0.21585000000000004	0.1864	0.18078	0.16166000000000003	0.17967500000000003	0.17967500000000003	0.17967500000000003	0.19269000000000003	0.19269000000000003	0.19269000000000003	0.17967500000000003	0.17967500000000003	0.17967500000000003	0.17807	0.16599000000000003	0.22760000000000002	0.19158333333333333	0.1759	0.18993000000000002	0.18699000000000002	0.18648	0.18648	0.26846000000000003	0.19462000000000002	0.18238000000000001	0.24089000000000005	0.24089000000000005	0.19614	0.1821	0.24606	0.22035000000000005	0.051984999999999996	0.051984999999999996	0.051984999999999996	0.051984999999999996	0.22054	0.1845	0.19835000000000003	0.20214000000000001	0.19123	0.047119999999999995	0.23479	0.23848250000000004	0.23057500000000003	0.05731	0.19144	0.17308	0.17807	0.15009	0.18282	0.17944000000000002	0.09966	0.102485	0.11643	0.11643	0.09760333333333333	0.09760333333333333	0.101735	0.11735999999999999	0.19908	0.17766500000000002	0.26091000000000003	0.252	0.25537000000000004	0.25571	0.25571	0.26091000000000003	0.183205	0.23204000000000002	0.23790000000000006	0.23929	0.20879	0.17944000000000002	0.17944000000000002	0.180455	0.18794500000000003	0.2555	0.11734	0.12265000000000001	0.24196	0.19123	0.24453000000000003	0.20413000000000003
